sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
2214,11,"Carry_Ahri, Carry_Swain, Carry_Karma, Carry_Braum, Carry_Gwen, Lucian, Lux, Galio",2.18,36.4%,90.9%
2123,6,"Lucian, Carry_Ahri, Carry_Swain, Carry_Ryze, Carry_Karma, JarvanIV, Carry_Gwen, Galio",2.50,66.7%,66.7%
1638,15,"Lucian, Carry_Swain, Carry_Karma, Carry_JarvanIV, Carry_Gwen, Carry_Ekko, Galio, Lux",2.67,20.0%,80.0%
1352,6,"Lucian, Lux, Carry_Swain, Carry_K'Sante, Carry_Karma, Carry_JarvanIV, Carry_Gwen, Galio",2.83,16.7%,66.7%
1927,13,"Carry_Kennen, Lucian, Carry_Swain, Carry_Karma, Carry_JarvanIV, Carry_Gwen, Galio, Lux",3.08,23.1%,61.5%
2263,6,"Lucian, Lux, Carry_Swain, Carry_Karma, JarvanIV, Carry_Gwen, Carry_Ekko, Galio",3.50,33.3%,83.3%
627,504,"Carry_Swain, Carry_Karma, Carry_JarvanIV, Carry_Gwen, Galio, Lucian, Lux, Ryze",3.56,20.6%,67.3%
1546,7,"Carry_Swain, Carry_Karma, Carry_JarvanIV, Carry_Ekko, Ahri, Lucian, Galio, Lux",3.57,28.6%,57.1%
1435,6,"Carry_Swain, Carry_K'Sante, Carry_Karma, Carry_Gwen, Kennen, Ahri, Neeko, Lux",4.00,0.0%,66.7%
1503,8,"Carry_Kennen, Carry_Karma, Carry_JarvanIV, Carry_Gwen, Galio, Lucian, Lux, Janna",4.12,12.5%,50.0%
733,7,"Carry_Lucian, Lux, Carry_Swain, Carry_Karma, JarvanIV, Carry_Gwen, Galio, Ryze",4.29,14.3%,42.9%
2277,8,"Carry_s3star_Kennen, Lucian, Carry_Karma, Carry_JarvanIV, Galio, Swain, Ahri, Lux",4.75,25.0%,37.5%
94,31,"Lucian, Carry_Lux, Carry_Swain, Carry_Karma, Carry_JarvanIV, Galio, Kennen, Ahri",4.84,0.0%,45.2%
1167,96,"Carry_Swain, Carry_Ryze, Carry_Karma, Carry_JarvanIV, Galio, Lucian, Lux, Ahri",4.94,4.2%,39.6%
2026,12,"Carry_Kennen, Lucian, Carry_Swain, Carry_Ryze, Carry_Karma, Carry_JarvanIV, Galio, Lux",5.25,0.0%,33.3%
476,258,"Carry_Swain, Carry_Karma, Carry_Gwen, Lucian, Lux, Galio, JarvanIV, Ahri",5.29,7.4%,30.2%
2143,6,"Carry_Ahri, Carry_Swain, Carry_Ryze, Carry_Karma, JarvanIV, Lucian, Galio, Lux",5.33,16.7%,16.7%
541,9,"Carry_Swain, Carry_Karma, JarvanIV, Carry_Ekko, Galio, Lucian, Kennen, Lux",5.67,0.0%,22.2%
175,78,"Carry_Swain, Carry_Karma, Carry_JarvanIV, Galio, Lucian, Lux, Ahri, Ryze",5.78,5.1%,20.5%
304,7,"Carry_Kennen, Lucian, Lux, Carry_Swain, Carry_Karma, Carry_JarvanIV, Galio, Ahri",6.00,14.3%,14.3%
311,50,"Carry_Swain, Carry_Ryze, Carry_Karma, Lucian, Galio, JarvanIV, Lux, Ahri",6.00,0.0%,24.0%
456,14,"Carry_Kennen, Lucian, Lux, Carry_Ahri, Carry_Swain, Carry_Karma, Carry_JarvanIV, Galio",6.00,0.0%,14.3%
2132,5,"Lucian, Carry_Swain, Carry_K'Sante, Carry_Karma, Lux, Ryze, JarvanIV, Galio",6.00,0.0%,20.0%
1746,5,"Carry_Kennen, Lucian, Lux, Ahri, Carry_Swain, Carry_Karma, JarvanIV, Galio",6.40,0.0%,0.0%
2275,6,"Kennen, Carry_Lucian, Lux, Ahri, Carry_Swain, Carry_Karma, JarvanIV, Galio",6.83,0.0%,0.0%
1434,35,"Carry_Swain, Carry_Karma, Lucian, Lux, Galio, Ahri, JarvanIV, Kennen",7.31,0.0%,5.7%
