sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1648,5,"Carry_Braum, Carry_Gwen, Carry_Lee_Sin, Carry_Yone, Carry_Twisted_Fate, Carry_Zyra, Swain, Volibear",1.00,100.0%,100.0%
1389,9,"Dr._Mundo, Carry_s3star_Vi, Carry_Ashe, Carry_Sett, Carry_Braum, Carry_Lee_Sin, Carry_Zyra, Udyr",1.44,55.6%,100.0%
751,16,"Carry_g3star_Kayle, Carry_g3star_Zac, Aatrox, Udyr, Carry_Sett, Carry_Lee_Sin, Carry_Zyra, Naafiri",1.62,56.2%,100.0%
22,47,"Vi, Carry_Ashe, Carry_Sett, Carry_Braum, Carry_Lee_Sin, Carry_Zyra, Udyr, Dr._Mundo",2.11,46.8%,89.4%
808,5,"Vi, Janna, Carry_Swain, Carry_Ashe, Carry_Sett, Carry_Braum, Carry_Lee_Sin, Carry_Zyra",2.20,60.0%,80.0%
797,8,"Volibear, Carry_Braum, Carry_Gwen, Carry_Lee_Sin, Carry_Yone, Carry_Zyra, JarvanIV, Galio",2.38,25.0%,100.0%
26,28,"Carry_s3star_Kayle, Carry_Sett, Carry_Lee_Sin, Carry_Zyra, Udyr, Aatrox, Zac, Naafiri",2.50,39.3%,82.1%
1256,5,"Naafiri, Dr._Mundo, Carry_g3star_Smolder, Carry_s3star_Udyr, Carry_Sett, Carry_Lee_Sin, Carry_Zyra, Vi",2.80,40.0%,80.0%
1044,12,"Carry_JarvanIV, Carry_Lee_Sin, Carry_Yone, Carry_Zyra, Galio, Ryze, Kobuko, Udyr",3.58,16.7%,75.0%
809,9,"Carry_Lee_Sin, Carry_Yone, Carry_Zyra, JarvanIV, Galio, Ryze, Kobuko, Udyr",4.33,11.1%,44.4%
1627,5,"Carry_Sett, Carry_Lee_Sin, Carry_Zyra, Udyr, Naafiri, Dr._Mundo, Braum, JarvanIV",4.60,0.0%,40.0%
2100,6,"Carry_Gwen, Carry_Lee_Sin, Carry_Zyra, Ryze, JarvanIV, Volibear, Yone, Xin_Zhao",5.33,0.0%,33.3%
2161,6,"Carry_Lee_Sin, Carry_Zyra, Twisted_Fate, Vi, Swain, Sett, Gwen, Janna",5.50,16.7%,33.3%
