sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1286,9,"Carry_Ezreal, Garen, Carry_Rakan, Carry_s3star_Katarina, Carry_Jayce, Carry_Leona, Carry_Yuumi, Ryze",2.22,22.2%,100.0%
2005,6,"Carry_Ezreal, Carry_Garen, Carry_s3star_Rakan, Carry_s3star_Katarina, Carry_Jayce, Carry_Leona, Ryze, Carry_Yuumi",2.50,50.0%,83.3%
876,5,"Ezreal, Garen, Carry_s3star_Rakan, Carry_s3star_Katarina, Carry_Jayce, Carry_Leona, Carry_Yuumi, Carry_Lee_Sin",2.60,40.0%,80.0%
241,78,"Carry_s3star_Rakan, Carry_g3star_Katarina, Carry_Jayce, Carry_Leona, Carry_Yuumi, Ezreal, Garen, Ryze",2.99,19.2%,79.5%
1747,20,"Carry_Ezreal, Carry_g3star_Rakan, Carry_g3star_Katarina, Jayce, Carry_Yuumi, Garen, Leona, Ryze",3.45,15.0%,70.0%
215,13,"Ezreal, Carry_Garen, Carry_s3star_Rakan, Carry_g3star_Katarina, Carry_Jayce, Carry_Leona, Carry_Yuumi, Ryze",3.46,15.4%,69.2%
132,147,"Carry_s3star_Rakan, Carry_g3star_Katarina, Carry_Ryze, Carry_Yuumi, Garen, Ezreal, Leona, Jayce",3.50,18.4%,70.8%
395,26,"Carry_s3star_Rakan, Carry_g3star_Katarina, Carry_Leona, Carry_Ryze, Garen, Ezreal, Jayce, Yuumi",4.27,11.5%,50.0%
224,18,"Garen, Carry_s3star_Rakan, Carry_s3star_Katarina, Carry_Jayce, Carry_Ryze, Ezreal, Leona, Yuumi",4.78,0.0%,44.4%
1912,6,"Carry_s3star_Ezreal, Garen, Carry_g3star_Rakan, Carry_g3star_Katarina, Carry_Ryze, Jayce, Leona, Yuumi",4.83,0.0%,33.3%
112,68,"Carry_s3star_Rakan, Carry_s3star_Katarina, Carry_Ryze, Garen, Ezreal, Jayce, Leona, Yuumi",5.59,2.9%,29.4%
1885,11,"Carry_s3star_Ezreal, Garen, Carry_s3star_Rakan, Carry_s3star_Katarina, Carry_Jayce, Leona, Ryze, Caitlyn",6.09,0.0%,18.2%
884,27,"Carry_s3star_Rakan, Carry_g3star_Katarina, Carry_Jayce, Garen, Ezreal, Yuumi, Leona, Ryze",6.19,0.0%,14.8%
66,35,"Carry_Ezreal, Carry_s3star_Rakan, Carry_s3star_Katarina, Garen, Jayce, Leona, Ryze, Caitlyn",6.49,2.9%,8.6%
982,9,"Carry_s3star_Rakan, Carry_s3star_Katarina, Carry_s3star_Janna, Garen, Kalista, Ryze, s3star_Xin_Zhao, Jayce",6.78,0.0%,0.0%
266,84,"Carry_Rakan, Carry_s3star_Katarina, Garen, Ezreal, Jayce, Yuumi, Leona, Ryze",7.31,0.0%,1.2%
