sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1040,5,"Lux, Xin_Zhao, Carry_Viego, Carry_Samira, Carry_Sett, Carry_Gwen, Carry_Lee_Sin, Carry_Yone",1.60,40.0%,100.0%
1252,11,"Carry_JarvanIV, Carry_Braum, Carry_Gwen, Carry_Lee_Sin, Carry_Yone, Galio, Ryze, Volibear",2.18,18.2%,100.0%
1861,10,"Lux, Carry_Samira, Carry_Sett, Carry_Gwen, Carry_Lee_Sin, Carry_Yone, Viego, Naafiri",2.50,20.0%,90.0%
563,15,"Carry_Braum, Carry_Gwen, Carry_Lee_Sin, Carry_Yone, Volibear, Ryze, Karma, Xin_Zhao",2.80,33.3%,80.0%
196,14,"Carry_Gwen, Carry_Lee_Sin, Carry_Yone, Carry_Twisted_Fate, Volibear, Braum, Zyra, Sett",3.21,28.6%,78.6%
536,7,"Carry_Gwen, Carry_Lee_Sin, Viego, Xin_Zhao, Samira, Sett, Volibear, Braum",4.57,14.3%,42.9%
1606,6,"Carry_Braum, Carry_Gwen, Carry_Lee_Sin, Xin_Zhao, Sett, Volibear, s3star_Naafiri, Viego",4.83,0.0%,50.0%
2262,6,"Carry_Karma, Carry_Gwen, Carry_Lee_Sin, Carry_Yone, Galio, Xin_Zhao, Ryze, JarvanIV",5.00,16.7%,33.3%
822,19,"Carry_Gwen, Carry_Lee_Sin, Carry_Yone, Braum, Volibear, Xin_Zhao, JarvanIV, Galio",5.05,15.8%,31.6%
