sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1752,6,"Rakan, Carry_s3star_Janna, Carry_Neeko, Carry_K'Sante, Carry_Ryze, Carry_JarvanIV, Kennen, Malphite",2.83,0.0%,100.0%
79,5,"Malphite, Carry_Rakan, Carry_Janna, Carry_g3star_Smolder, Neeko, Carry_K'Sante, Carry_JarvanIV, Kennen",3.60,0.0%,80.0%
1404,8,"Kennen, Rakan, Carry_Janna, Carry_s3star_Smolder, Neeko, Carry_K'Sante, Carry_JarvanIV, Malphite",4.00,0.0%,75.0%
1285,11,"Kennen, Carry_Janna, Carry_Akali, Carry_K'Sante, Carry_JarvanIV, Neeko, Ryze, Darius",4.27,9.1%,54.5%
1210,13,"Kennen, Carry_s3star_Rakan, Carry_g3star_Janna, Carry_K'Sante, Carry_Ryze, Neeko, Malphite, JarvanIV",4.46,0.0%,53.9%
1520,5,"Rakan, Carry_Janna, Carry_g3star_Smolder, Neeko, Carry_JarvanIV, K'Sante, Kennen, Malphite",4.60,0.0%,40.0%
295,21,"Malphite, Rakan, Carry_Janna, Carry_s3star_Smolder, Neeko, Carry_K'Sante, Kennen, JarvanIV",6.14,4.8%,9.5%
1055,12,"Carry_Janna, Carry_K'Sante, Carry_JarvanIV, Kennen, Neeko, Ryze, Rakan, Malphite",6.58,0.0%,8.3%
898,6,"Rakan, Carry_s3star_Janna, Carry_K'Sante, Carry_Ryze, Neeko, Kennen, Ziggs, JarvanIV",7.00,0.0%,0.0%
501,9,"Carry_Janna, Carry_K'Sante, JarvanIV, Neeko, Kennen, Rakan, Ryze, Malphite",7.56,0.0%,0.0%
1530,8,"Carry_Janna, Carry_Smolder, Kennen, Malphite, Rakan, Neeko, K'Sante, Xin_Zhao",7.88,0.0%,0.0%
