sub_cluster_id,size,carries,avg_place,winrate,top4_rate
485,6,"JarvanIV, Ryze, Volibear, Yone",3.83,0.0%,66.7%
368,7,"Braum, JarvanIV, Ryze, Volibear",4.14,0.0%,57.1%
651,5,"Ryze, Volibear, Yone",5.40,0.0%,40.0%
421,20,"JarvanIV, Ryze, Volibear",6.40,0.0%,5.0%
663,14,"Ryze, Volibear",7.14,0.0%,7.1%
