sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1521,7,"Kennen, Rakan, Carry_Janna, Carry_s3star_Smolder, Carry_s3star_Neeko, Carry_K'Sante, Carry_Ryze, Malphite",1.71,57.1%,100.0%
1661,29,"Janna, Carry_g3star_Smolder, Carry_s3star_Neeko, Carry_K'Sante, Carry_Ryze, Carry_JarvanIV, Rakan, Kennen",2.14,31.0%,96.5%
623,29,"Carry_Rakan, Janna, Carry_g3star_Smolder, Carry_s3star_Neeko, Carry_K'Sante, Carry_JarvanIV, Kennen, Malphite",2.31,37.9%,89.7%
1471,16,"Rakan, Janna, Carry_g3star_Smolder, Carry_s3star_Neeko, Carry_K'Sante, Carry_Zyra, Kennen, Malphite",2.50,25.0%,93.8%
2215,16,"Carry_Rakan, Janna, Carry_g3star_Smolder, Carry_s3star_Neeko, Carry_K'Sante, Carry_Ryze, Malphite, Kennen",2.50,12.5%,93.8%
482,42,"Kennen, Carry_Janna, Carry_g3star_Smolder, Carry_s3star_Neeko, Carry_K'Sante, Carry_JarvanIV, Rakan, Malphite",2.83,26.2%,85.7%
1981,6,"Malphite, Carry_Rakan, Janna, Carry_g3star_Smolder, Carry_s3star_Neeko, K'Sante, Carry_Ryze, Kennen",2.83,16.7%,100.0%
219,6,"Malphite, Carry_Rakan, Janna, Carry_s3star_Smolder, Carry_s3star_Neeko, Carry_K'Sante, Carry_Ryze, Carry_JarvanIV",3.00,16.7%,83.3%
1618,5,"Carry_Malphite, Rakan, Janna, Carry_s3star_Smolder, Carry_Neeko, Carry_K'Sante, Carry_JarvanIV, Kennen",3.20,20.0%,60.0%
1147,13,"Kennen, Malphite, Rakan, Janna, Carry_g3star_Smolder, Carry_s3star_Neeko, Carry_K'Sante, Carry_Twisted_Fate",3.31,30.8%,76.9%
1196,9,"Janna, Carry_s3star_Smolder, Neeko, Carry_K'Sante, Carry_Ryze, Carry_JarvanIV, Kennen, Rakan",3.33,11.1%,77.8%
1510,12,"Kennen, Carry_Rakan, Janna, Carry_g3star_Smolder, Carry_Neeko, Carry_JarvanIV, Malphite, K'Sante",3.33,33.3%,66.7%
1608,18,"Carry_g3star_Smolder, Carry_s3star_Neeko, Carry_Ryze, Carry_JarvanIV, Janna, Rakan, Malphite, Kennen",3.39,22.2%,66.7%
298,5,"Malphite, Carry_Rakan, Janna, Carry_s3star_Smolder, Carry_s3star_Neeko, Carry_K'Sante, Carry_Zyra, Kennen",3.40,0.0%,80.0%
76,85,"Janna, Carry_g3star_Smolder, Carry_s3star_Neeko, Carry_K'Sante, Carry_JarvanIV, Rakan, Kennen, Malphite",3.46,20.0%,69.4%
2206,5,"Malphite, Carry_s3star_Rakan, Janna, Carry_g3star_Smolder, Carry_K'Sante, Carry_JarvanIV, Kennen, Neeko",3.60,20.0%,60.0%
1439,5,"Malphite, Carry_s3star_Rakan, Carry_g3star_Smolder, Carry_K'Sante, Carry_Ryze, Kennen, Janna, Neeko",3.80,0.0%,60.0%
745,68,"Carry_Rakan, Carry_s3star_Smolder, Carry_s3star_Neeko, Carry_K'Sante, Kennen, Janna, Malphite, JarvanIV",3.81,20.6%,60.3%
786,25,"Carry_Janna, Carry_g3star_Smolder, Carry_s3star_Neeko, Carry_JarvanIV, Kennen, Malphite, Rakan, K'Sante",4.12,12.0%,56.0%
1621,6,"Kennen, Malphite, Rakan, Janna, Carry_s3star_Smolder, Carry_K'Sante, Carry_Zyra, Neeko",4.83,0.0%,50.0%
1890,7,"Malphite, Janna, Carry_s3star_Smolder, Neeko, Carry_K'Sante, Carry_Ryze, Kennen, s3star_Rakan",4.86,14.3%,42.9%
471,40,"Carry_s3star_Smolder, Carry_Neeko, Carry_JarvanIV, Janna, Rakan, Kennen, Malphite, K'Sante",4.97,5.0%,40.0%
1108,23,"Rakan, Carry_s3star_Smolder, Carry_Neeko, Carry_Ryze, Janna, Kennen, Malphite, K'Sante",5.30,4.3%,30.4%
1797,20,"Rakan, Janna, Carry_s3star_Smolder, Neeko, Carry_K'Sante, Carry_JarvanIV, Kennen, Malphite",5.50,0.0%,30.0%
651,37,"Carry_s3star_Rakan, Janna, Carry_s3star_Smolder, Carry_Neeko, Kennen, Malphite, K'Sante, Ryze",5.70,5.4%,24.3%
35,163,"Rakan, Carry_s3star_Smolder, Carry_Neeko, Carry_K'Sante, Janna, Kennen, Malphite, JarvanIV",5.73,4.9%,23.9%
1950,5,"Carry_Malphite, Rakan, Janna, Carry_s3star_Smolder, Carry_Neeko, Kennen, K'Sante, JarvanIV",5.80,0.0%,20.0%
1350,10,"Kennen, Carry_s3star_Rakan, Janna, Carry_g3star_Smolder, Neeko, Carry_K'Sante, Malphite, JarvanIV",5.90,0.0%,40.0%
2013,7,"Rakan, Janna, Carry_s3star_Smolder, Carry_Neeko, Carry_Twisted_Fate, Kennen, K'Sante, Malphite",6.14,0.0%,0.0%
1880,14,"Malphite, Rakan, Carry_Smolder, Neeko, Carry_K'Sante, Janna, Kennen, JarvanIV",7.07,7.1%,7.1%
2071,7,"Malphite, Rakan, Janna, Carry_s3star_Smolder, Neeko, Carry_JarvanIV, K'Sante, Kennen",7.14,0.0%,0.0%
248,105,"Carry_Smolder, Carry_Neeko, Janna, Rakan, Kennen, Malphite, K'Sante, JarvanIV",7.17,0.9%,1.9%
1709,12,"Kennen, Malphite, Carry_Rakan, Janna, Carry_Smolder, Neeko, K'Sante, JarvanIV",7.17,0.0%,0.0%
