sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
601,15,"Carry_Vi, Carry_Janna, Carry_s3star_Swain, Carry_Ashe, Carry_Braum, Carry_Lee_Sin, Carry_Zyra, Syndra",1.20,86.7%,100.0%
924,5,"Carry_Vi, Janna, Carry_Swain, Carry_Ashe, Carry_JarvanIV, Carry_Braum, Carry_Lee_Sin, Carry_Zyra",1.20,80.0%,100.0%
2194,5,"Carry_Vi, Carry_Janna, Carry_Swain, Carry_Ashe, Carry_JarvanIV, Carry_Braum, Carry_Lee_Sin, Carry_Zyra",1.20,80.0%,100.0%
2199,8,"Gangplank, Udyr, Viego, Carry_Ashe, Carry_Sett, Carry_JarvanIV, Carry_Lee_Sin, Carry_Yone",1.62,62.5%,100.0%
634,34,"Carry_Vi, Carry_Swain, Carry_Ashe, Carry_Braum, Carry_Lee_Sin, Carry_Zyra, Janna, Syndra",1.68,67.7%,94.1%
2225,6,"Vi, Janna, Carry_s3star_Swain, Carry_Ashe, Carry_JarvanIV, Carry_Braum, Carry_Lee_Sin, Carry_Zyra",2.17,66.7%,83.3%
406,44,"Vi, Carry_Swain, Carry_Ashe, Carry_Braum, Carry_Lee_Sin, Carry_Zyra, Janna, Syndra",2.39,43.2%,88.6%
2168,11,"Carry_Ashe, Carry_JarvanIV, Carry_Lee_Sin, Carry_Zyra, Aatrox, Gangplank, Udyr, Viego",3.00,18.2%,81.8%
673,6,"Carry_Dr._Mundo, Udyr, Carry_Ashe, Carry_Sett, Carry_Lee_Sin, Carry_Zyra, Vi, Naafiri",3.17,16.7%,83.3%
1992,5,"Syndra, Carry_Vi, Janna, Carry_Swain, Carry_Ashe, Carry_Lee_Sin, Carry_Zyra, Udyr",3.20,40.0%,80.0%
1366,13,"Carry_s3star_Vi, Carry_Udyr, Carry_Ashe, Carry_Sett, Carry_Lee_Sin, Dr._Mundo, Naafiri, Zyra",3.23,23.1%,76.9%
1217,13,"Udyr, Carry_Ashe, Carry_Sett, Carry_Lee_Sin, Carry_Yone, Vi, Gangplank, Galio",3.62,7.7%,76.9%
2119,6,"Carry_Gangplank, Udyr, Viego, Carry_Ashe, Carry_JarvanIV, Carry_Lee_Sin, Kai'Sa, Galio",3.67,33.3%,66.7%
1272,22,"Udyr, Carry_Ashe, Carry_Sett, Carry_Braum, Carry_Lee_Sin, Dr._Mundo, Vi, Naafiri",3.73,18.2%,59.1%
2007,39,"Gangplank, Carry_Udyr, Carry_Ashe, Carry_JarvanIV, Carry_Lee_Sin, Galio, Viego, Kai'Sa",3.82,10.3%,69.2%
392,103,"Carry_Ashe, Carry_Sett, Carry_Lee_Sin, Carry_Zyra, Udyr, Vi, Dr._Mundo, Naafiri",3.90,10.7%,63.1%
1343,20,"Carry_Udyr, Carry_Ashe, Carry_Lee_Sin, Carry_Zyra, Sett, Vi, Gangplank, Viego",3.90,0.0%,70.0%
2268,6,"Carry_Kai'Sa, Gangplank, Udyr, Viego, Carry_Ashe, Carry_JarvanIV, Carry_Lee_Sin, Galio",4.00,0.0%,66.7%
2279,7,"Gangplank, Udyr, Carry_Ashe, Carry_Sett, Carry_JarvanIV, Carry_Lee_Sin, Galio, Kai'Sa",4.57,14.3%,57.1%
2288,7,"Udyr, Viego, Carry_Ashe, Carry_Lee_Sin, Carry_Yone, Gangplank, Galio, JarvanIV",4.86,0.0%,42.9%
1322,43,"Carry_Ashe, Carry_JarvanIV, Carry_Lee_Sin, Udyr, Gangplank, Viego, Kai'Sa, Galio",5.12,4.7%,39.5%
84,103,"Carry_Ashe, Carry_Sett, Carry_Lee_Sin, Udyr, Vi, Dr._Mundo, Naafiri, Zyra",5.54,1.0%,28.2%
1227,35,"Carry_Swain, Carry_Ashe, Carry_Lee_Sin, Carry_Zyra, Vi, Janna, Braum, Syndra",5.69,2.9%,17.1%
1203,9,"Carry_Ashe, Carry_Lee_Sin, Carry_Zyra, Vi, Udyr, Dr._Mundo, Swain, Braum",5.89,0.0%,11.1%
752,7,"Udyr, Carry_Ashe, Carry_K'Sante, Carry_Lee_Sin, Kayle, Viego, Kai'Sa, Sett",6.14,0.0%,28.6%
555,30,"Carry_Ashe, Carry_Lee_Sin, Udyr, Vi, Sett, Viego, Aatrox, Kai'Sa",6.87,0.0%,6.7%
1082,27,"Carry_Swain, Carry_Ashe, Carry_Lee_Sin, Vi, Janna, Syndra, Zyra, Dr._Mundo",7.00,0.0%,7.4%
95,10,"Vi, Carry_Swain, Carry_Ashe, Carry_Sett, Carry_Lee_Sin, Udyr, Dr._Mundo, Janna",7.20,0.0%,0.0%
1133,7,"Syndra, Vi, Carry_Janna, Carry_Swain, Carry_Ashe, Carry_Lee_Sin, Leona, JarvanIV",7.29,0.0%,0.0%
