sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
960,6,"Carry_Syndra, Vi, Janna, Carry_s3star_Swain, Carry_Ashe, Carry_Braum, Carry_Lee_Sin, Carry_Zyra",1.00,100.0%,100.0%
2118,9,"Carry_Syndra, Vi, Carry_Swain, Carry_Ashe, Carry_Braum, Janna, Dr._Mundo, Udyr",6.33,11.1%,22.2%
2266,5,"Carry_Syndra, Vi, Carry_Janna, Carry_Swain, Carry_Ashe, Dr._Mundo, Udyr, Braum",6.80,0.0%,20.0%
1925,8,"Carry_Syndra, Carry_Swain, Janna, Vi, Ashe, Braum, Rell, Dr._Mundo",6.88,12.5%,12.5%
2250,8,"Carry_Syndra, Vi, Janna, Swain, Carry_Ashe, Braum, Udyr, JarvanIV",7.38,0.0%,0.0%
1800,5,"Carry_Syndra, Vi, Carry_Ashe, Carry_Sett, Dr._Mundo, Udyr, Swain, Naafiri",7.60,0.0%,0.0%
577,39,"Carry_Syndra, Carry_Swain, Carry_Ashe, Vi, Janna, Dr._Mundo, Udyr, Braum",7.67,0.0%,0.0%
