sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1331,7,"Rell, Carry_Syndra, Xayah, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Ahri",2.14,28.6%,100.0%
1505,5,"Carry_Rell, Syndra, Carry_Ahri, Carry_Jinx, Carry_Poppy, Carry_Braum, Carry_Seraphine, Xayah",2.20,20.0%,100.0%
841,30,"Rell, Carry_Kobuko, Carry_Ahri, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Syndra",2.27,40.0%,90.0%
980,14,"Rell, Syndra, Carry_Kobuko, Xayah, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Seraphine",2.29,21.4%,92.9%
1494,9,"Rell, Neeko, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Carry_Yone, Xayah, Syndra",2.67,33.3%,77.8%
571,57,"Rell, Carry_Ahri, Carry_Swain, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Neeko, Syndra",2.68,28.1%,86.0%
1087,13,"Carry_Syndra, Carry_Ahri, Neeko, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Rell, Xayah",2.77,23.1%,84.6%
257,5,"Rell, Carry_Syndra, Carry_Kobuko, Carry_Ahri, Neeko, Carry_Jinx, Carry_Poppy, Carry_Seraphine",2.80,20.0%,80.0%
1236,13,"Rell, Syndra, Carry_Xayah, Carry_Ahri, Neeko, Carry_Jinx, Carry_Poppy, Carry_Seraphine",2.92,30.8%,84.6%
194,37,"Carry_Rell, Carry_Ahri, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Syndra, Neeko, Xayah",2.95,24.3%,78.4%
1561,9,"Rell, Ahri, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Carry_Ekko, Syndra, Neeko",3.33,22.2%,77.8%
1823,6,"Carry_Rell, Syndra, Ahri, Neeko, Carry_Jinx, Carry_Poppy, Carry_Braum, Carry_Seraphine",3.33,33.3%,66.7%
1032,27,"Carry_Rell, Ahri, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Syndra, Neeko, Xayah",3.48,22.2%,66.7%
34,245,"Rell, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Ahri, Syndra, Xayah",3.53,11.4%,71.4%
1279,22,"Carry_Rell, Syndra, Xayah, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Ahri",3.55,9.1%,72.7%
421,46,"Carry_Swain, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Syndra, Ahri, Neeko, Rell",3.59,8.7%,67.4%
1855,16,"Rell, Syndra, Ahri, Carry_Swain, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Seraphine",3.62,6.2%,68.8%
723,30,"Carry_Kobuko, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Rell, Neeko, Syndra, Ahri",3.77,13.3%,70.0%
1540,15,"Rell, Carry_Neeko, Carry_Jinx, Carry_K'Sante, Carry_Poppy, Carry_Seraphine, Syndra, Ahri",3.87,26.7%,60.0%
388,41,"Rell, Syndra, Carry_Ahri, Carry_Neeko, Carry_Jinx, Carry_Seraphine, Poppy, Xayah",4.00,14.6%,56.1%
2254,6,"Rell, Ahri, Carry_Jinx, Carry_Leona, Carry_Poppy, Carry_Seraphine, Syndra, Neeko",4.17,16.7%,66.7%
1341,7,"Rell, Carry_Ahri, Carry_Swain, Carry_Jinx, Poppy, Carry_Seraphine, Syndra, Neeko",4.57,0.0%,42.9%
7,504,"Carry_Jinx, Carry_Poppy, Carry_Seraphine, Neeko, Rell, Ahri, Syndra, Xayah",4.72,5.2%,45.4%
639,11,"Neeko, Carry_Jinx, Carry_Seraphine, Syndra, Ahri, Poppy, Rell, Xayah",5.00,0.0%,54.5%
1778,5,"Rell, Xayah, Ahri, Carry_Jinx, Carry_Poppy, Carry_Yone, Neeko, Syndra",5.00,0.0%,60.0%
621,7,"Carry_Rell, Carry_Ahri, Neeko, Carry_Jinx, Carry_Seraphine, Syndra, Xayah, Poppy",5.29,0.0%,42.9%
1798,8,"Rell, Ahri, Carry_Swain, Neeko, Carry_Jinx, Carry_Poppy, Syndra, Seraphine",5.62,0.0%,12.5%
1201,29,"Carry_Neeko, Carry_Jinx, Carry_Seraphine, Rell, Syndra, Poppy, Ahri, Xayah",5.69,0.0%,31.0%
1766,5,"Rell, Syndra, Carry_Ahri, Neeko, Carry_Jinx, Poppy, Carry_Seraphine, Swain",5.80,0.0%,20.0%
2209,5,"Carry_Rell, Syndra, Ahri, Neeko, Carry_Jinx, Carry_Seraphine, Poppy, Xayah",6.00,0.0%,20.0%
1998,5,"Rell, Carry_Swain, Neeko, Carry_Jinx, Carry_Seraphine, Syndra, Ahri, Poppy",6.60,0.0%,0.0%
1732,6,"Carry_Swain, Carry_Jinx, Rell, Syndra, Neeko, Dr._Mundo, Vi, Ahri",6.67,0.0%,16.7%
1783,8,"Carry_s3star_Rell, Neeko, Carry_Jinx, Syndra, Xayah, Ahri, Poppy, Seraphine",7.62,0.0%,0.0%
