sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
524,10,"Aatrox, Carry_Kobuko, Carry_Udyr, Carry_Yasuo, Senna, Carry_Ryze, Carry_JarvanIV, Carry_Yone",2.20,50.0%,90.0%
39,68,"Kobuko, Udyr, Yasuo, Carry_Ryze, Carry_JarvanIV, Carry_Lee_Sin, Carry_Yone, Carry_Zyra",2.41,22.1%,97.1%
377,19,"Kobuko, Udyr, Yasuo, Carry_Ryze, Carry_Lee_Sin, Carry_Yone, Carry_Zyra, Galio",2.63,15.8%,94.7%
1517,5,"Kobuko, Carry_Udyr, Yasuo, Carry_Ryze, JarvanIV, Carry_Lee_Sin, Carry_Yone, Carry_Zyra",2.80,20.0%,100.0%
1702,5,"Aatrox, Carry_Kobuko, Gangplank, Carry_Udyr, Yasuo, Carry_Senna, Carry_Ryze, Carry_JarvanIV",2.80,40.0%,80.0%
82,60,"Aatrox, Kobuko, Carry_Udyr, Carry_Yasuo, Carry_Ryze, Carry_JarvanIV, Carry_Yone, Carry_Galio",2.82,18.3%,85.0%
1385,17,"Aatrox, Carry_Kobuko, Carry_Udyr, Yasuo, Senna, Carry_Ryze, Carry_JarvanIV, Carry_Yone",2.82,17.6%,94.1%
810,6,"Carry_Ryze, JarvanIV, Carry_Gwen, Carry_Yone, Carry_Zyra, Galio, Karma, Volibear",2.83,16.7%,83.3%
1161,23,"Kobuko, Carry_Udyr, Yasuo, Carry_Ryze, Carry_Karma, Carry_JarvanIV, Carry_Yone, Carry_Galio",2.96,8.7%,87.0%
532,28,"Carry_Ryze, Carry_JarvanIV, Carry_Gwen, Carry_Yone, Galio, Karma, Udyr, Kobuko",3.36,7.1%,78.6%
2008,5,"Carry_Aatrox, Kobuko, Carry_Udyr, Senna, Carry_Ryze, Carry_JarvanIV, Carry_Yone, Carry_Galio",3.40,20.0%,60.0%
1502,14,"Carry_Ryze, Carry_JarvanIV, Carry_Gwen, Carry_Yone, Carry_Zyra, Galio, Volibear, Karma",3.50,7.1%,78.6%
656,27,"Kobuko, Carry_Udyr, Carry_Yasuo, Carry_Ryze, Carry_JarvanIV, Carry_Yone, Galio, Aatrox",3.74,7.4%,66.7%
422,18,"Carry_Udyr, Carry_Ryze, Carry_Lee_Sin, Carry_Yone, Kobuko, Galio, Yasuo, Senna",3.78,22.2%,55.6%
1933,5,"Aatrox, Senna, Carry_Ryze, JarvanIV, Carry_Yone, Carry_Zyra, Carry_Galio, Kobuko",3.80,20.0%,80.0%
1580,7,"Aatrox, Senna, Carry_Ryze, Karma, Carry_JarvanIV, Carry_Volibear, Carry_Yone, Carry_s3star_Galio",3.86,14.3%,71.4%
59,134,"Kobuko, Carry_Udyr, Carry_Ryze, Carry_JarvanIV, Carry_Yone, Carry_Galio, Yasuo, Senna",3.90,8.2%,64.2%
518,11,"Carry_Ryze, Carry_Gwen, Carry_Lee_Sin, Carry_Yone, Galio, JarvanIV, Kobuko, Xin_Zhao",4.00,18.2%,63.6%
1014,11,"Aatrox, Kobuko, Carry_Udyr, Yasuo, Carry_Senna, Carry_Ryze, JarvanIV, Carry_Yone",4.18,18.2%,45.5%
951,10,"Senna, Carry_Ryze, Carry_JarvanIV, Carry_Gwen, Carry_Yone, Carry_Galio, Aatrox, Karma",4.20,10.0%,60.0%
1947,5,"Kobuko, Udyr, Yasuo, Carry_Ryze, JarvanIV, Carry_Yone, Carry_Ekko, Galio",4.20,0.0%,60.0%
728,12,"Carry_Ryze, Carry_JarvanIV, Carry_Volibear, Carry_Yone, Galio, Kobuko, Udyr, Yasuo",4.33,0.0%,58.3%
105,33,"Kobuko, Udyr, Yasuo, Carry_Senna, Carry_Ryze, Carry_JarvanIV, Carry_Yone, Galio",4.76,9.1%,39.4%
804,5,"Carry_Ryze, Carry_JarvanIV, Carry_Yone, Carry_Ekko, Kobuko, Udyr, Yasuo, Galio",4.80,0.0%,40.0%
1641,22,"Kobuko, Carry_Udyr, Carry_Yasuo, Carry_Ryze, Carry_Yone, Galio, JarvanIV, Aatrox",4.91,9.1%,40.9%
74,282,"Carry_Ryze, Carry_JarvanIV, Carry_Yone, Galio, Kobuko, Yasuo, Udyr, Senna",5.55,2.1%,29.4%
1095,9,"Carry_Ryze, Carry_Volibear, Carry_Yone, Galio, Aatrox, JarvanIV, Kobuko, Udyr",5.67,0.0%,22.2%
2014,6,"Carry_Ryze, Carry_Sett, Carry_Yone, Galio, JarvanIV, Aatrox, Kobuko, Udyr",5.67,0.0%,16.7%
265,19,"Carry_Ryze, JarvanIV, Carry_Yone, Carry_Zyra, Galio, Kobuko, Udyr, Yasuo",5.79,0.0%,26.3%
537,24,"Carry_Ryze, Carry_Gwen, Carry_Yone, Galio, JarvanIV, Karma, Braum, Volibear",5.92,4.2%,20.8%
400,49,"Carry_Udyr, Carry_Ryze, Carry_Yone, Yasuo, Galio, Kobuko, Senna, JarvanIV",6.08,4.1%,14.3%
399,58,"Carry_Ryze, Carry_Yone, Galio, JarvanIV, Yasuo, Kobuko, Udyr, Senna",6.71,1.7%,6.9%
