sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
570,12,"Carry_g3star_Kayle, Zac, Aatrox, Carry_Dr._Mundo, Carry_Sett, Carry_Braum, Carry_Lee_Sin, Udyr",1.50,66.7%,100.0%
2145,6,"Carry_g3star_Kayle, Naafiri, Zac, Aatrox, Carry_Dr._Mundo, Carry_Udyr, Carry_Sett, Carry_Braum",1.67,33.3%,100.0%
871,5,"Carry_s3star_Gnar, Aatrox, Carry_s3star_Dr._Mundo, Carry_Udyr, Carry_Sett, Naafiri, Vi, Lee_Sin",4.60,0.0%,40.0%
703,6,"Carry_s3star_Dr._Mundo, Udyr, Carry_Sett, Carry_Lee_Sin, Vi, Naafiri, Gnar, Volibear",4.67,16.7%,33.3%
783,7,"Aatrox, Carry_s3star_Dr._Mundo, Carry_Sett, Naafiri, Vi, Udyr, Gnar, Volibear",7.14,0.0%,14.3%
1260,8,"Carry_s3star_Gnar, Carry_s3star_Dr._Mundo, Udyr, Carry_Sett, Vi, Naafiri, Volibear, Caitlyn",7.25,0.0%,0.0%
