sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
671,29,"Carry_g3star_Gangplank, Carry_s3star_Udyr, Carry_s3star_Viego, Carry_Ashe, Carry_Lee_Sin, Sett, Kai'Sa, Zyra",2.10,37.9%,93.1%
1276,5,"Carry_Kai'Sa, Carry_s3star_Gangplank, Carry_s3star_Udyr, Carry_g3star_Viego, Carry_Ashe, Carry_Lee_Sin, Naafiri, Sett",2.20,40.0%,100.0%
926,28,"Udyr, Carry_s3star_Viego, Carry_Ashe, Carry_Sett, Carry_Lee_Sin, Gangplank, Kai'Sa, Kayle",3.64,14.3%,67.9%
650,15,"Carry_s3star_Gangplank, Carry_s3star_Viego, Carry_Ashe, Carry_Lee_Sin, Udyr, Sett, Kai'Sa, Yone",4.00,13.3%,60.0%
1261,49,"Carry_s3star_Gangplank, Carry_s3star_Viego, Carry_Ashe, Carry_Sett, Udyr, Kai'Sa, Kayle, Lee_Sin",4.12,14.3%,59.2%
1022,38,"Carry_s3star_Udyr, Carry_s3star_Viego, Carry_Ashe, Carry_Sett, Gangplank, Kai'Sa, Kayle, Lee_Sin",4.13,10.5%,57.9%
636,15,"Udyr, Carry_Viego, Carry_Ashe, Carry_Lee_Sin, Gangplank, Sett, Kai'Sa, Braum",4.73,6.7%,46.7%
2289,9,"Gangplank, Udyr, Carry_Viego, Carry_Ashe, Carry_JarvanIV, Carry_Lee_Sin, Kai'Sa, Galio",5.11,11.1%,44.4%
390,87,"Carry_s3star_Gangplank, Udyr, Carry_s3star_Viego, Carry_Ashe, Sett, Kai'Sa, Kayle, Lee_Sin",5.31,4.6%,29.9%
731,35,"Carry_Viego, Carry_Ashe, Carry_Sett, Udyr, Kai'Sa, Gangplank, Kayle, Lee_Sin",5.71,5.7%,22.9%
706,21,"Carry_s3star_Gangplank, Udyr, Carry_s3star_Viego, Carry_Sett, Ashe, Kai'Sa, Kayle, Lee_Sin",5.76,0.0%,19.1%
559,21,"Carry_Viego, Carry_Ashe, Udyr, Kai'Sa, Gangplank, Sett, Kayle, Lee_Sin",6.76,0.0%,9.5%
1197,6,"Carry_Viego, Carry_Sett, Naafiri, Xin_Zhao, Samira, Kalista, Udyr, Gwen",6.83,0.0%,0.0%
