sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
231,5,"Carry_Rell, Carry_Ahri, Carry_Swain, Neeko, Carry_Jinx, Poppy, Syndra, Xayah",4.40,0.0%,60.0%
1842,5,"Carry_Rell, Carry_Syndra, Xayah, Carry_Ahri, Neeko, Carry_Jinx, Poppy, Seraphine",4.80,20.0%,40.0%
800,31,"Carry_Rell, Carry_Ahri, Neeko, Carry_Jinx, Carry_Poppy, Syndra, Xayah, Seraphine",5.19,0.0%,29.0%
1943,5,"Carry_Rell, Syndra, Xayah, Carry_Ahri, Carry_Neeko, Jinx, Carry_Poppy, Seraphine",5.40,0.0%,20.0%
150,23,"Carry_s3star_Rell, Syndra, Carry_Ahri, Carry_Jinx, Neeko, Poppy, Xayah, Seraphine",5.61,8.7%,26.1%
785,50,"Carry_Ahri, Carry_Swain, Carry_Jinx, Rell, Neeko, Syndra, Poppy, Xayah",5.70,2.0%,28.0%
1344,8,"Carry_s3star_Rell, Carry_Ahri, Neeko, Xayah, Syndra, Jinx, Poppy, Swain",6.38,0.0%,0.0%
2107,5,"Carry_Rell, Carry_Ahri, Carry_Neeko, Swain, Syndra, Xayah, Poppy, Jinx",6.40,0.0%,20.0%
334,32,"Carry_Ahri, Carry_Jinx, Rell, Neeko, Syndra, Poppy, Xayah, Kobuko",6.59,3.1%,9.4%
1907,7,"Carry_s3star_Rell, Carry_Ahri, Carry_Neeko, Carry_Jinx, Syndra, Xayah, Swain, Poppy",7.00,0.0%,0.0%
