sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
929,14,"Carry_g3star_Sivir, Carry_g3star_Malphite, Carry_g3star_Shen, Janna, Carry_g3star_Ziggs, Carry_Ryze, Carry_JarvanIV, Twisted_Fate",2.71,28.6%,92.9%
1425,8,"Carry_g3star_Sivir, Carry_g3star_Malphite, g3star_Shen, Janna, Carry_g3star_Ziggs, Carry_Ryze, Carry_JarvanIV, Twisted_Fate",3.12,25.0%,75.0%
655,7,"Lucian, Swain, Carry_Ryze, Carry_Karma, Carry_JarvanIV, Carry_Gwen, Carry_Ekko, Galio",3.43,14.3%,71.4%
2201,5,"Carry_Ziggs, Carry_Ryze, Carry_JarvanIV, Janna, K'Sante, Aatrox, Kobuko, Udyr",6.40,0.0%,0.0%
1275,7,"Carry_Ryze, Carry_JarvanIV, Carry_Ekko, Janna, Senna, Yone, Kobuko, Udyr",6.43,0.0%,0.0%
588,55,"Carry_Ryze, Carry_JarvanIV, Yasuo, Kobuko, Udyr, Galio, Senna, Aatrox",7.27,0.0%,0.0%
