sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1536,7,"Carry_g3star_Kayle, Carry_s3star_Zac, Aatrox, Dr._Mundo, Udyr, Carry_Sett, Carry_Braum, Carry_Zyra",1.29,71.4%,100.0%
116,13,"Carry_g3star_Kayle, Carry_g3star_Zac, Carry_g3star_Aatrox, Udyr, Carry_Braum, Carry_Lee_Sin, Sett, Naafiri",1.46,69.2%,100.0%
2260,6,"Carry_g3star_Kayle, Naafiri, Carry_g3star_Zac, Aatrox, Udyr, Carry_Sett, Carry_Lee_Sin, Carry_Twisted_Fate",1.67,33.3%,100.0%
1806,5,"Carry_g3star_Kayle, Naafiri, Carry_g3star_Zac, Aatrox, Dr._Mundo, Carry_Udyr, Carry_Lee_Sin, Carry_Varus",1.80,40.0%,100.0%
894,14,"Carry_g3star_Kayle, Carry_g3star_Zac, Aatrox, Udyr, Sett, Carry_Lee_Sin, Carry_Zyra, Dr._Mundo",2.14,42.9%,92.9%
1730,11,"Carry_g3star_Kayle, Naafiri, Carry_s3star_Zac, Carry_Udyr, Carry_Sett, Carry_Zyra, Aatrox, Dr._Mundo",2.27,27.3%,90.9%
483,5,"Carry_g3star_Kayle, Naafiri, Carry_g3star_Zac, Dr._Mundo, Carry_Udyr, Sett, Carry_Lee_Sin, Carry_Twisted_Fate",2.40,60.0%,80.0%
1650,11,"Carry_g3star_Kayle, Carry_s3star_Zac, Jhin, Carry_Malzahar, Carry_K'Sante, Carry_Varus, Aatrox, Udyr",2.55,36.4%,81.8%
970,9,"Carry_g3star_Kayle, Carry_g3star_Zac, Aatrox, Udyr, Carry_Lee_Sin, Carry_Twisted_Fate, Dr._Mundo, Sett",2.56,33.3%,88.9%
125,101,"Carry_g3star_Kayle, Carry_g3star_Zac, Carry_Sett, Carry_Lee_Sin, Aatrox, Udyr, Naafiri, Dr._Mundo",2.77,29.7%,81.2%
1038,7,"Carry_s3star_Kayle, Carry_s3star_Zac, Carry_Poppy, Aatrox, Darius, K'Sante, Jhin, Varus",3.71,28.6%,71.4%
1556,5,"Carry_g3star_Kayle, Carry_g3star_Zac, Jhin, Carry_Malzahar, Carry_Udyr, Carry_K'Sante, Aatrox, Poppy",3.80,0.0%,80.0%
1729,15,"Carry_g3star_Kayle, Carry_s3star_Zac, Carry_Udyr, Carry_Varus, Aatrox, Naafiri, Dr._Mundo, Jhin",3.87,13.3%,66.7%
547,17,"Carry_g3star_Kayle, Carry_s3star_Zac, Carry_Malzahar, Carry_Varus, Jhin, Udyr, Aatrox, K'Sante",4.00,5.9%,64.7%
1493,15,"Carry_g3star_Kayle, Carry_s3star_Naafiri, Carry_g3star_Zac, Aatrox, Dr._Mundo, Udyr, Carry_Lee_Sin, Sett",4.00,13.3%,60.0%
691,24,"Carry_g3star_Kayle, Naafiri, Carry_g3star_Zac, Aatrox, Dr._Mundo, Carry_Udyr, Carry_Braum, Sett",4.29,12.5%,50.0%
2034,7,"Carry_g3star_Kayle, Naafiri, Carry_g3star_Zac, Carry_s3star_Aatrox, Carry_Zyra, Dr._Mundo, Udyr, Vi",4.29,0.0%,42.9%
