sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1372,6,"Lux, Xin_Zhao, Carry_Samira, Carry_Sett, Carry_Volibear, Carry_Braum, Carry_Gwen, Carry_Lee_Sin",1.50,50.0%,100.0%
1226,8,"Xin_Zhao, Carry_Samira, Carry_Sett, Carry_Volibear, Carry_Gwen, Carry_Lee_Sin, Lux, Viego",3.00,12.5%,87.5%
389,73,"Carry_Samira, Carry_Sett, Carry_Gwen, Carry_Lee_Sin, Xin_Zhao, Naafiri, Viego, Lux",3.23,19.2%,75.3%
520,8,"Carry_Samira, Carry_Sett, Carry_Volibear, Carry_Lee_Sin, Naafiri, Dr._Mundo, Viego, Udyr",3.88,0.0%,62.5%
1451,8,"Naafiri, Lux, Carry_Viego, Carry_Samira, Carry_Sett, Carry_Gwen, Carry_Lee_Sin, Xin_Zhao",3.88,0.0%,75.0%
560,16,"Carry_Samira, Carry_Sett, Carry_Lee_Sin, Naafiri, Viego, Xin_Zhao, Lux, Kalista",5.06,6.2%,31.2%
1850,7,"Naafiri, Carry_Lux, Viego, Carry_Samira, Carry_Sett, Carry_Lee_Sin, Xin_Zhao, Volibear",5.29,0.0%,42.9%
1744,5,"Carry_Samira, Carry_Volibear, Carry_Lee_Sin, Dr._Mundo, Gnar, Shen, Yasuo, Braum",5.60,0.0%,40.0%
1096,5,"Carry_Samira, Carry_Sett, Carry_Lee_Sin, Carry_Yone, Naafiri, Viego, Lux, Kalista",5.80,0.0%,0.0%
1657,7,"Carry_Samira, Carry_Lee_Sin, Xin_Zhao, Udyr, Naafiri, Lux, Aatrox, Kalista",7.57,0.0%,0.0%
