sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1524,10,"Carry_Lux, Carry_Swain, Carry_Karma, Carry_Gwen, Lucian, Galio, JarvanIV, Ryze",4.30,20.0%,50.0%
1294,8,"Carry_s3star_Lux, Carry_s3star_Ahri, Carry_s3star_Swain, Carry_Karma, Rell, Lucian, Kennen, s3star_Neeko",5.38,0.0%,50.0%
1060,27,"Carry_Lux, Carry_Swain, Carry_Karma, Lucian, Kennen, Galio, Ahri, JarvanIV",5.70,0.0%,18.5%
1501,13,"Carry_Lux, Carry_Ahri, Carry_s3star_Swain, Karma, Kennen, Lucian, JarvanIV, Galio",5.77,7.7%,23.1%
1984,7,"Lucian, Carry_Lux, Carry_Swain, Carry_Ryze, Carry_Karma, Carry_JarvanIV, Galio, Kennen",6.14,0.0%,14.3%
1980,6,"Carry_s3star_Lux, Carry_Swain, Ahri, Janna, Karma, Kennen, Xin_Zhao, s3star_Lucian",8.00,0.0%,0.0%
