sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1821,8,"Vi, Janna, Carry_Swain, Carry_Ashe, Carry_K'Sante, Carry_Braum, Carry_Zyra, Syndra",2.12,50.0%,87.5%
1528,5,"Carry_Ashe, Carry_K'Sante, Carry_Lee_Sin, Carry_Zyra, Vi, Janna, Swain, Kennen",4.60,20.0%,40.0%
1831,8,"Vi, Janna, Swain, Carry_Ashe, Carry_K'Sante, Carry_Braum, Carry_Zyra, Udyr",4.62,12.5%,50.0%
1916,9,"Vi, Janna, Carry_Swain, Carry_Ashe, Carry_K'Sante, Carry_Zyra, Udyr, Syndra",5.44,0.0%,11.1%
1776,8,"Carry_Ashe, Carry_K'Sante, Carry_Zyra, Janna, Vi, Swain, Udyr, Dr._Mundo",7.00,0.0%,0.0%
743,16,"Carry_Ashe, Carry_K'Sante, Vi, Swain, Janna, Udyr, Syndra, Zyra",7.12,0.0%,12.5%
2112,13,"Carry_Swain, Carry_Ashe, Carry_K'Sante, Vi, Janna, Udyr, Syndra, Dr._Mundo",7.15,0.0%,0.0%
