sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1724,5,"Carry_g3star_Gnar, Carry_Dr._Mundo, Carry_Volibear, Carry_Lee_Sin, Udyr, Braum, Naafiri, Sett",4.60,20.0%,40.0%
1542,12,"Carry_g3star_Gnar, Carry_s3star_Dr._Mundo, Carry_Volibear, Udyr, Sett, Samira, Naafiri, Shen",5.50,0.0%,33.3%
1756,9,"Carry_s3star_Gnar, Carry_s3star_Dr._Mundo, Carry_Jinx, Udyr, Sett, Vi, Jhin, Caitlyn",5.89,0.0%,22.2%
1284,5,"Carry_Gnar, Carry_s3star_Dr._Mundo, Sett, Udyr, Samira, Volibear, Sivir, Jhin",7.60,0.0%,0.0%
