sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
258,21,"Carry_Udyr, Carry_Ashe, Carry_Sett, Carry_Braum, Carry_Lee_Sin, Carry_Zyra, Dr._Mundo, Vi",2.05,52.4%,90.5%
1956,6,"Carry_g3star_Dr._Mundo, Carry_s3star_Vi, Carry_s3star_Udyr, Carry_Ashe, Sett, Carry_Zyra, Naafiri, Braum",2.33,66.7%,83.3%
1048,8,"Carry_g3star_Gangplank, Carry_s3star_Udyr, Carry_g3star_Viego, Carry_Ashe, Carry_Braum, Sett, Kayle, Kai'Sa",2.38,25.0%,87.5%
281,9,"Carry_g3star_Gangplank, Carry_s3star_Udyr, Carry_g3star_Viego, Carry_Ashe, Sett, Carry_Yone, Galio, Kai'Sa",2.67,11.1%,88.9%
267,38,"Carry_Udyr, Carry_Ashe, Carry_Sett, Carry_Lee_Sin, Carry_Zyra, Vi, Dr._Mundo, Naafiri",3.13,18.4%,76.3%
1219,16,"Carry_Udyr, Carry_Ashe, Carry_Sett, Carry_Braum, Carry_Zyra, Dr._Mundo, Vi, Naafiri",3.19,18.8%,87.5%
396,6,"Carry_s3star_Kai'Sa, Gangplank, Carry_s3star_Udyr, Carry_s3star_Viego, Carry_Ashe, Carry_Lee_Sin, Sett, Aatrox",3.33,33.3%,66.7%
2205,5,"Naafiri, Carry_Dr._Mundo, Carry_Udyr, Carry_Ashe, Carry_Sett, Carry_Lee_Sin, Vi, Aatrox",3.40,40.0%,60.0%
278,9,"Carry_Udyr, Carry_s3star_Viego, Carry_Ashe, Carry_Gwen, Gangplank, Sett, Kai'Sa, Samira",3.56,22.2%,66.7%
1704,7,"Carry_Kayle, Gangplank, Carry_Udyr, Viego, Carry_Ashe, Carry_Lee_Sin, Aatrox, Galio",3.57,0.0%,85.7%
237,5,"Gangplank, Carry_Udyr, Carry_s3star_Viego, Carry_Ashe, Sett, Carry_Zyra, Kayle, Lee_Sin",3.60,0.0%,80.0%
335,57,"Carry_Udyr, Carry_s3star_Viego, Carry_Ashe, Carry_Lee_Sin, Gangplank, Sett, Kai'Sa, Kayle",3.86,8.8%,63.2%
133,256,"Carry_s3star_Gangplank, Carry_s3star_Udyr, Carry_s3star_Viego, Carry_Ashe, Sett, Kai'Sa, Kayle, Lee_Sin",3.92,15.2%,60.5%
358,5,"Kayle, Kai'Sa, Carry_Udyr, Carry_s3star_Viego, Carry_Ashe, Carry_K'Sante, Gangplank, Sett",4.00,0.0%,80.0%
1393,11,"Carry_s3star_Vi, Carry_Udyr, Carry_Ashe, Carry_Lee_Sin, Dr._Mundo, Sett, Naafiri, Aatrox",4.09,0.0%,54.5%
2272,9,"Carry_Udyr, Viego, Carry_Ashe, Carry_Lee_Sin, Carry_Yone, Galio, Gangplank, Aatrox",4.33,0.0%,55.6%
81,32,"Carry_s3star_Vi, Carry_Udyr, Carry_Ashe, Carry_Zyra, Dr._Mundo, Sett, Naafiri, Aatrox",4.44,9.4%,59.4%
2249,8,"Gangplank, Carry_Udyr, Carry_s3star_Viego, Carry_Ashe, Carry_Yone, Sett, JarvanIV, Galio",4.62,0.0%,37.5%
1939,7,"Vi, Janna, Carry_Swain, Carry_Udyr, Carry_Ashe, Carry_Sett, Carry_Zyra, Dr._Mundo",5.00,0.0%,28.6%
1313,47,"Carry_Udyr, Carry_Ashe, Carry_Lee_Sin, Viego, Gangplank, Aatrox, Sett, Kai'Sa",5.47,0.0%,34.0%
836,36,"Carry_s3star_Vi, Carry_Udyr, Carry_Ashe, Carry_Sett, Naafiri, Dr._Mundo, Aatrox, Lee_Sin",5.61,5.6%,19.4%
96,123,"Carry_Udyr, Carry_s3star_Viego, Carry_Ashe, Gangplank, Kai'Sa, Sett, Kayle, Lee_Sin",5.71,2.4%,22.8%
1280,17,"Carry_Udyr, Carry_Ashe, Carry_Zyra, Vi, Sett, Dr._Mundo, Swain, Aatrox",5.88,5.9%,11.8%
1889,10,"Carry_Udyr, Carry_Ashe, Carry_Yone, Gangplank, Viego, Galio, Kai'Sa, Lee_Sin",5.90,0.0%,10.0%
120,14,"Vi, Carry_Swain, Carry_Udyr, Carry_Ashe, Carry_Zyra, Janna, Syndra, Lee_Sin",6.14,0.0%,0.0%
736,5,"Carry_s3star_Kayle, Carry_Udyr, Carry_Ashe, Zac, Kai'Sa, Gangplank, Viego, Aatrox",6.20,0.0%,0.0%
223,75,"Carry_s3star_Vi, Carry_Udyr, Carry_Ashe, Dr._Mundo, Naafiri, Aatrox, Sett, Zyra",6.69,0.0%,4.0%
78,6,"Carry_s3star_Vi, Carry_Swain, Carry_Udyr, Carry_Ashe, Janna, Dr._Mundo, Syndra, Naafiri",7.00,0.0%,16.7%
1368,32,"Carry_Udyr, Carry_Ashe, Vi, Janna, Swain, Kai'Sa, Viego, Sett",7.00,0.0%,6.2%
2104,5,"Carry_Udyr, Carry_Ashe, Carry_Gwen, Vi, Naafiri, Sett, Swain, Aatrox",7.20,0.0%,0.0%
420,19,"Carry_Swain, Carry_Udyr, Carry_Ashe, Vi, Janna, Dr._Mundo, Syndra, Sett",7.84,0.0%,0.0%
