sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1736,13,"Carry_g3star_Kog'Maw, Carry_Udyr, Carry_Sett, Carry_Lee_Sin, Naafiri, Dr._Mundo, Vi, Aatrox",4.62,0.0%,46.1%
665,21,"Naafiri, Dr._Mundo, Carry_s3star_Kog'Maw, Carry_Udyr, Carry_Sett, Vi, Aatrox, Lee_Sin",6.43,0.0%,14.3%
1338,5,"Naafiri, Aatrox, Carry_Dr._Mundo, Vi, Carry_Kog'Maw, Carry_Udyr, Carry_Sett",6.80,0.0%,0.0%
939,10,"Naafiri, Carry_g3star_Kog'Maw, Carry_Udyr, Carry_Lee_Sin, Dr._Mundo, Sett, Vi, Aatrox",6.90,0.0%,10.0%
1900,9,"Aatrox, Carry_s3star_Kog'Maw, Carry_Udyr, Dr._Mundo, Naafiri, Vi, Sett, Kayle",7.78,0.0%,0.0%
