sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
236,21,"Malphite, Carry_Rakan, Carry_Janna, Carry_g3star_Smolder, Carry_s3star_Neeko, Carry_K'Sante, Carry_JarvanIV, Kennen",2.38,33.3%,95.2%
630,54,"Carry_Rakan, Carry_Janna, Carry_g3star_Smolder, Carry_s3star_Neeko, Carry_K'Sante, Kennen, Malphite, JarvanIV",3.22,25.9%,74.1%
2217,7,"Carry_g3star_Rakan, Carry_g3star_Janna, Neeko, Carry_Ryze, Carry_JarvanIV, Kennen, Malphite, Ziggs",3.71,0.0%,71.4%
1835,5,"Kennen, Malphite, Carry_s3star_Rakan, Carry_s3star_Janna, Carry_Neeko, Carry_K'Sante, Ryze, Ziggs",3.80,0.0%,80.0%
1146,7,"Kennen, Carry_s3star_Malphite, Carry_s3star_Rakan, Carry_s3star_Janna, Neeko, Carry_K'Sante, Ziggs, Ryze",3.86,14.3%,71.4%
1213,11,"Carry_Rakan, Carry_Janna, Carry_s3star_Smolder, Neeko, Carry_K'Sante, Kennen, Malphite, Ryze",4.00,27.3%,54.5%
2135,5,"Kennen, Malphite, Rakan, Carry_g3star_Janna, Carry_Ziggs, Carry_Neeko, Carry_K'Sante, Ryze",4.00,0.0%,60.0%
193,130,"Carry_Janna, Carry_s3star_Smolder, Carry_s3star_Neeko, Carry_K'Sante, Rakan, Kennen, Malphite, JarvanIV",4.17,11.5%,59.2%
680,7,"Kennen, Malphite, Carry_s3star_Rakan, Carry_g3star_Janna, Carry_Ziggs, Carry_Neeko, Carry_K'Sante, Ryze",4.29,0.0%,57.1%
877,9,"Kennen, Carry_s3star_Rakan, Carry_s3star_Janna, Carry_s3star_Neeko, Carry_Ryze, K'Sante, JarvanIV, Ziggs",4.33,0.0%,66.7%
1804,11,"Kennen, Carry_Rakan, Carry_Janna, Carry_g3star_Smolder, Carry_Neeko, Carry_JarvanIV, Malphite, K'Sante",4.45,0.0%,54.5%
333,15,"Kennen, Malphite, Carry_s3star_Rakan, Carry_s3star_Janna, Carry_Ziggs, Neeko, Carry_K'Sante, Ryze",4.53,6.7%,53.3%
996,9,"Carry_s3star_Rakan, Carry_s3star_Janna, Neeko, Carry_K'Sante, Carry_JarvanIV, Kennen, Malphite, Ryze",4.56,0.0%,55.6%
379,55,"Carry_s3star_Rakan, Carry_Janna, Carry_s3star_Smolder, Carry_Neeko, Malphite, Kennen, K'Sante, JarvanIV",5.02,7.3%,36.4%
796,11,"Kennen, Rakan, Carry_s3star_Janna, Carry_Neeko, Carry_K'Sante, Malphite, Ziggs, Ryze",5.45,0.0%,18.2%
2041,8,"Rakan, Carry_s3star_Janna, Carry_Ziggs, Carry_s3star_Neeko, Kennen, Malphite, K'Sante, JarvanIV",5.50,0.0%,12.5%
1948,5,"Carry_s3star_Malphite, Carry_s3star_Rakan, Carry_s3star_Janna, Carry_Ziggs, g3star_Sivir, s3star_Shen, K'Sante, Kennen",5.60,0.0%,40.0%
1726,8,"Carry_s3star_Rakan, Carry_s3star_Janna, Neeko, Carry_JarvanIV, K'Sante, Kennen, Ziggs, Malphite",5.62,0.0%,12.5%
386,13,"Carry_g3star_Rakan, Carry_s3star_Janna, Carry_Ziggs, Neeko, Malphite, Kennen, K'Sante, JarvanIV",5.69,0.0%,23.1%
2169,8,"Carry_s3star_Rakan, Carry_s3star_Janna, Carry_Ryze, Kennen, Neeko, Malphite, JarvanIV, K'Sante",5.88,0.0%,25.0%
1054,19,"Kennen, Carry_s3star_Rakan, Carry_Janna, Carry_s3star_Smolder, Malphite, Neeko, K'Sante, JarvanIV",6.00,0.0%,21.1%
424,99,"Rakan, Carry_Janna, Carry_s3star_Smolder, Carry_Neeko, Kennen, Malphite, K'Sante, JarvanIV",6.14,3.0%,15.2%
160,14,"Carry_s3star_Rakan, Carry_s3star_Janna, Carry_Neeko, Kennen, Malphite, K'Sante, JarvanIV, Ziggs",6.21,7.1%,7.1%
1202,19,"Carry_s3star_Rakan, Carry_s3star_Janna, Neeko, Carry_K'Sante, Kennen, Malphite, Ryze, JarvanIV",6.42,0.0%,21.1%
578,10,"Malphite, Carry_g3star_Rakan, Carry_s3star_Janna, Carry_Ziggs, Carry_Neeko, Kennen, K'Sante, JarvanIV",6.50,0.0%,0.0%
972,25,"Carry_Rakan, Carry_Janna, Neeko, Malphite, Kennen, K'Sante, JarvanIV, Ryze",6.80,4.0%,16.0%
109,8,"Carry_Janna, Carry_Neeko, Rakan, Malphite, Kennen, K'Sante, Ahri, JarvanIV",7.88,0.0%,0.0%
