sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
2148,11,"Carry_Swain, Carry_Karma, JarvanIV, Carry_Braum, Carry_Gwen, Carry_Zyra, Galio, Lucian",2.36,27.3%,90.9%
1487,6,"Carry_Swain, Carry_Ashe, Carry_Gwen, Carry_Lee_Sin, Carry_Zyra, Vi, Janna, Braum",2.67,33.3%,100.0%
1278,33,"Carry_Swain, Carry_Karma, JarvanIV, Carry_Gwen, Carry_Zyra, Galio, Lucian, Lux",3.09,27.3%,72.7%
633,28,"Carry_Swain, Carry_Karma, Carry_JarvanIV, Carry_Zyra, Galio, Lucian, Lux, Kennen",3.96,21.4%,53.6%
23,20,"Lucian, Carry_Swain, Carry_Karma, Carry_Zyra, JarvanIV, Galio, Lux, Kennen",5.65,5.0%,25.0%
1258,6,"Carry_Ahri, Carry_Swain, Carry_Zyra, Rell, Syndra, Lucian, Karma, Lux",5.67,0.0%,16.7%
1737,8,"Carry_Swain, Carry_Gwen, Carry_Zyra, Lucian, Braum, Lux, Karma, JarvanIV",6.25,0.0%,12.5%
955,13,"Vi, Carry_Swain, Carry_Ashe, Carry_Gwen, Carry_Zyra, Janna, Syndra, Udyr",6.31,0.0%,15.4%
1878,11,"Carry_Swain, Carry_Zyra, Syndra, Vi, Janna, Ashe, Dr._Mundo, Braum",7.82,0.0%,0.0%
