sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1888,7,"Malphite, Carry_Rakan, Carry_Janna, Carry_s3star_Smolder, Carry_s3star_Neeko, Carry_K'Sante, Carry_Ryze, Kennen",2.57,28.6%,85.7%
366,46,"Rakan, Janna, Carry_g3star_Smolder, Carry_s3star_Neeko, Carry_K'Sante, Carry_Ryze, Malphite, Kennen",3.02,17.4%,84.8%
1074,48,"Kennen, Carry_Neeko, Carry_Akali, Carry_K'Sante, Carry_Ryze, Carry_JarvanIV, Janna, Varus",3.67,10.4%,62.5%
365,6,"Kennen, Malphite, Rakan, Carry_s3star_Janna, Carry_Neeko, K'Sante, Carry_Ryze, Carry_JarvanIV",4.00,0.0%,66.7%
923,12,"Kennen, Carry_Neeko, Carry_Akali, Carry_K'Sante, Ryze, Carry_Zyra, Janna, JarvanIV",4.00,16.7%,50.0%
1856,11,"Carry_s3star_Malzahar, Carry_s3star_Neeko, Carry_K'Sante, Carry_Yuumi, Ezreal, Rakan, Syndra, Janna",4.18,0.0%,63.6%
2016,7,"Kennen, Rakan, Carry_s3star_Janna, Carry_Neeko, Carry_K'Sante, Carry_Ryze, Malphite, JarvanIV",4.29,0.0%,57.1%
2195,8,"Kennen, Janna, Carry_Neeko, Carry_Akali, Carry_K'Sante, Carry_Ryze, Carry_Varus, JarvanIV",4.38,0.0%,50.0%
909,32,"Janna, Carry_Neeko, Carry_Akali, Carry_K'Sante, Carry_Ryze, Kennen, JarvanIV, Varus",4.84,6.2%,37.5%
310,74,"Carry_Neeko, Carry_Akali, Carry_K'Sante, Carry_JarvanIV, Ryze, Janna, Kennen, Varus",4.85,4.0%,47.3%
1921,8,"Kennen, Janna, Carry_Neeko, Carry_K'Sante, Carry_Ryze, JarvanIV, Akali, Varus",5.50,0.0%,25.0%
361,11,"Carry_s3star_Malzahar, Carry_Neeko, Carry_K'Sante, Rakan, Janna, Kennen, Malphite, Syndra",6.18,0.0%,9.1%
294,46,"Carry_Neeko, Carry_Akali, Carry_K'Sante, Kennen, Janna, Ryze, JarvanIV, Varus",6.30,0.0%,15.2%
1955,8,"Carry_Neeko, Carry_K'Sante, Kennen, Janna, Ryze, Akali, JarvanIV, s3star_Jhin",7.50,0.0%,0.0%
