sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1098,5,"Carry_g3star_Kayle, Naafiri, Carry_s3star_Zac, Aatrox, Dr._Mundo, Carry_Vi, Carry_Udyr, Carry_Sett",4.40,20.0%,60.0%
2274,6,"Carry_g3star_Kayle, Naafiri, Aatrox, Carry_Vi, Carry_Udyr, Carry_Sett, Zac, Dr._Mundo",5.00,0.0%,33.3%
1006,8,"Carry_s3star_Kayle, Carry_s3star_Zac, Carry_Vi, Udyr, Carry_Sett, Naafiri, Aatrox, Dr._Mundo",5.12,0.0%,37.5%
1825,5,"Carry_s3star_Kayle, Carry_s3star_Aatrox, Dr._Mundo, Carry_Vi, Carry_Udyr, Zac, Naafiri, Sett",5.80,0.0%,20.0%
590,21,"Carry_g3star_Kayle, Carry_g3star_Zac, Carry_s3star_Vi, Dr._Mundo, Udyr, Aatrox, Sett, Naafiri",6.14,0.0%,14.3%
757,14,"Carry_g3star_Kayle, Carry_s3star_Zac, Aatrox, Carry_Vi, Carry_Udyr, Naafiri, Dr._Mundo, Sett",6.14,7.1%,7.1%
813,5,"Carry_g3star_Kayle, Naafiri, Zac, Dr._Mundo, Carry_s3star_Vi, Carry_Udyr, Aatrox, Sett",6.60,0.0%,20.0%
1681,6,"Carry_g3star_Kayle, Naafiri, Aatrox, Carry_Vi, Udyr, Carry_Sett, Dr._Mundo, Zac",6.67,0.0%,0.0%
