sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1876,9,"Carry_s3star_Kennen, Malphite, Carry_s3star_Rakan, Carry_Janna, Neeko, Carry_Akali, Darius, K'Sante",3.00,0.0%,77.8%
457,15,"Carry_s3star_Kennen, Malphite, Carry_Rakan, Janna, Neeko, Carry_Akali, Carry_K'Sante, Darius",3.13,26.7%,66.7%
2264,5,"Carry_s3star_Kennen, Carry_g3star_Malphite, Carry_s3star_Rakan, Janna, Carry_Akali, Neeko, K'Sante, Darius",3.20,0.0%,100.0%
1775,5,"Carry_g3star_Kennen, Carry_g3star_Malphite, Carry_g3star_Rakan, Carry_Janna, Darius, Neeko, Carry_Akali, K'Sante",3.80,0.0%,60.0%
32,5,"Carry_s3star_Kennen, Malphite, Carry_Rakan, Carry_s3star_Janna, Darius, Carry_K'Sante, Neeko, Akali",4.00,20.0%,80.0%
959,5,"Carry_s3star_Kennen, Carry_s3star_Malphite, Carry_s3star_Rakan, Carry_s3star_Janna, Akali, Darius, Ziggs, Neeko",5.20,0.0%,60.0%
1535,13,"Carry_s3star_Kennen, Carry_s3star_Rakan, Carry_Akali, Janna, Darius, Malphite, Neeko, K'Sante",5.31,7.7%,38.5%
933,11,"Carry_g3star_Kennen, Malphite, Carry_g3star_Rakan, Carry_s3star_Janna, Neeko, K'Sante, Darius, Akali",5.45,0.0%,18.2%
1597,7,"Carry_g3star_Kennen, Carry_Rakan, Janna, Carry_Darius, s3star_Malphite, Neeko, K'Sante, Kai'Sa",5.86,0.0%,14.3%
2129,9,"Carry_s3star_Kennen, Malphite, Carry_Rakan, Carry_K'Sante, Neeko, Janna, Darius, Akali",6.44,0.0%,11.1%
2056,7,"Carry_s3star_Kennen, Carry_Rakan, Janna, Darius, Neeko, s3star_Malphite, Kai'Sa, Akali",7.71,0.0%,0.0%
