sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1679,5,"Syndra, Carry_g3star_Rammus, Carry_g3star_Malzahar, Carry_Neeko, Carry_K'Sante, Carry_Yuumi, Ezreal, Rakan",2.40,40.0%,80.0%
242,14,"Ezreal, Rakan, Carry_g3star_Rammus, Carry_g3star_Malzahar, Carry_K'Sante, Carry_Yuumi, Carry_Seraphine, Syndra",2.43,14.3%,92.9%
1181,10,"Ezreal, Carry_Malzahar, Carry_Jayce, Carry_K'Sante, Carry_Leona, Carry_Yuumi, Garen, Rakan",3.10,10.0%,90.0%
1262,8,"Ezreal, Carry_s3star_Rammus, Carry_g3star_Malzahar, Carry_Yuumi, Carry_Seraphine, K'Sante, Syndra, Rakan",3.38,37.5%,62.5%
1139,56,"Ezreal, Garen, Carry_Rakan, Carry_Malzahar, Carry_Leona, Carry_Yuumi, Carry_Seraphine, Syndra",3.39,8.9%,78.6%
54,31,"Ezreal, Carry_Garen, Carry_Malzahar, Carry_Leona, Carry_Yuumi, Carry_Seraphine, Rakan, Syndra",3.45,12.9%,71.0%
2222,8,"Ezreal, Carry_s3star_Rammus, Carry_s3star_Malzahar, Carry_Leona, Carry_Yuumi, Syndra, K'Sante, Rakan",3.50,12.5%,75.0%
259,27,"Garen, Carry_Syndra, Rakan, Carry_Malzahar, Carry_K'Sante, Carry_Leona, Carry_Yuumi, Ezreal",3.89,14.8%,63.0%
1019,10,"Ezreal, Carry_Garen, Syndra, Carry_Rakan, Carry_Malzahar, Carry_Leona, Carry_Yuumi, Carry_Seraphine",4.20,0.0%,60.0%
2078,7,"Carry_s3star_Rammus, Carry_s3star_Malzahar, Carry_Neeko, Carry_Yuumi, Ezreal, Syndra, K'Sante, Seraphine",4.29,14.3%,42.9%
387,121,"Ezreal, Carry_Rakan, Carry_Malzahar, Carry_Leona, Carry_Yuumi, Garen, Syndra, Seraphine",4.49,9.1%,47.1%
480,43,"Carry_Ezreal, Garen, Carry_Malzahar, Carry_Leona, Carry_Yuumi, Rakan, Syndra, K'Sante",4.81,2.3%,44.2%
60,1138,"Carry_Malzahar, Carry_Leona, Carry_Yuumi, Ezreal, Garen, Rakan, Syndra, K'Sante",5.37,2.8%,31.0%
154,25,"Carry_Rakan, Carry_Malzahar, Carry_K'Sante, Carry_Yuumi, Ezreal, Garen, Leona, Syndra",5.40,8.0%,36.0%
1457,11,"Carry_Malzahar, Carry_Neeko, Carry_Leona, Carry_Yuumi, Ezreal, Garen, Syndra, Rakan",5.45,0.0%,18.2%
51,15,"Ezreal, Carry_Rakan, Carry_s3star_Rammus, Carry_s3star_Malzahar, Carry_Yuumi, Syndra, K'Sante, Seraphine",5.53,0.0%,26.7%
1373,7,"Carry_s3star_Malzahar, Carry_Swain, Carry_Yuumi, Syndra, Leona, Garen, Rell, Ezreal",5.71,0.0%,14.3%
41,84,"Carry_s3star_Rammus, Carry_s3star_Malzahar, Carry_Yuumi, Ezreal, Syndra, Rakan, K'Sante, Seraphine",5.79,3.6%,23.8%
2125,14,"Carry_Malzahar, Carry_s3star_Neeko, Carry_Yuumi, Ezreal, Rakan, Syndra, K'Sante, Janna",5.86,0.0%,28.6%
475,11,"Carry_Malzahar, Carry_Swain, Carry_Leona, Carry_Yuumi, Ezreal, Syndra, Rell, Garen",6.27,0.0%,18.2%
1694,20,"Carry_Rakan, Carry_Malzahar, Carry_Yuumi, Ezreal, Garen, Leona, Syndra, K'Sante",6.50,5.0%,10.0%
2244,5,"Ezreal, Garen, Carry_Malzahar, Leona, Carry_Yuumi, Carry_Seraphine, Syndra, Rakan",6.60,0.0%,0.0%
730,43,"Carry_Malzahar, Carry_Yuumi, Ezreal, Leona, Garen, Rakan, Syndra, K'Sante",7.30,0.0%,2.3%
2024,6,"Rakan, Carry_Neeko, Carry_Yuumi, Ezreal, K'Sante, Syndra, Janna, Ahri",7.50,0.0%,0.0%
1774,10,"Carry_Rakan, Carry_Malzahar, Ezreal, K'Sante, Syndra, Garen, Neeko, Zac",7.70,0.0%,0.0%
