sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
2077,6,"Carry_Akali, Carry_K'Sante, Carry_Ryze, Carry_JarvanIV, Carry_Twisted_Fate, Janna, Kennen, Ziggs",2.33,66.7%,83.3%
1420,5,"Kobuko, Carry_Udyr, Yasuo, Carry_Ryze, Carry_JarvanIV, Carry_Yone, Carry_Twisted_Fate, Galio",2.40,20.0%,100.0%
455,8,"Aatrox, Senna, Carry_Ryze, Carry_JarvanIV, Carry_Yone, Carry_Twisted_Fate, Carry_Galio, Kobuko",3.12,25.0%,87.5%
1187,31,"Carry_Ryze, Carry_JarvanIV, Carry_Yone, Carry_Twisted_Fate, Galio, Kobuko, Udyr, Yasuo",3.29,16.1%,74.2%
511,9,"Carry_JarvanIV, Braum, Carry_Gwen, Carry_Yone, Carry_Twisted_Fate, Karma, Volibear, Galio",3.89,22.2%,55.6%
2009,8,"Carry_Ryze, Carry_JarvanIV, Carry_Twisted_Fate, Kobuko, Udyr, Yasuo, Galio, Senna",5.00,12.5%,37.5%
1754,8,"Carry_JarvanIV, Carry_Yone, Carry_Twisted_Fate, Galio, Udyr, Zyra, Ryze, Braum",6.38,0.0%,12.5%
