sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
268,20,"Carry_s3star_Gangplank, Carry_s3star_Udyr, Carry_s3star_Viego, Carry_Ashe, Carry_Sett, Carry_Lee_Sin, Kai'Sa, Zyra",2.85,25.0%,80.0%
777,14,"Carry_Udyr, Carry_s3star_Viego, Carry_Ashe, Carry_Sett, Carry_Lee_Sin, Gangplank, Kai'Sa, Kayle",3.14,21.4%,85.7%
439,5,"Carry_s3star_Kai'Sa, Carry_Udyr, Carry_g3star_Viego, Carry_Lee_Sin, Sett, Ashe, Darius, Vi",3.40,20.0%,80.0%
1892,5,"Carry_s3star_Gangplank, Carry_Udyr, Carry_Viego, Carry_Sett, Carry_Lee_Sin, Ashe, Kayle, Kai'Sa",4.40,0.0%,40.0%
1848,17,"Carry_s3star_Gangplank, Carry_Udyr, Carry_s3star_Viego, Carry_Sett, Kai'Sa, Kayle, Ashe, Lee_Sin",4.47,5.9%,47.1%
879,12,"Carry_Udyr, Carry_s3star_Viego, Carry_Lee_Sin, Sett, Gangplank, Ashe, Kai'Sa, Kayle",4.58,0.0%,50.0%
856,8,"Xin_Zhao, Carry_Udyr, Carry_Viego, Carry_Samira, Carry_Sett, Naafiri, Lux, Kalista",5.50,0.0%,37.5%
461,134,"Carry_s3star_Gangplank, Carry_Udyr, Carry_s3star_Viego, Kai'Sa, Ashe, Sett, Kayle, Lee_Sin",5.57,5.2%,27.6%
1599,8,"Carry_s3star_Udyr, Carry_s3star_Viego, Carry_Sett, Gangplank, Kayle, Kai'Sa, Ashe, Lee_Sin",6.38,0.0%,12.5%
200,22,"Carry_Udyr, Carry_Viego, Gangplank, Ashe, Kai'Sa, Sett, Kayle, Lee_Sin",7.27,0.0%,0.0%
