sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
2015,9,"Carry_s3star_Kayle, Carry_s3star_Zac, Carry_Udyr, Carry_K'Sante, Carry_Varus, Jhin, Aatrox, Malzahar",1.89,44.4%,100.0%
185,6,"Carry_s3star_Zac, Jhin, Malzahar, Carry_Jinx, Carry_K'Sante, Carry_Varus, Neeko, Kayle",2.17,33.3%,100.0%
367,22,"Carry_g3star_Kayle, Carry_g3star_Zac, Udyr, Carry_Sett, Carry_Varus, Naafiri, Aatrox, Dr._Mundo",2.32,50.0%,86.4%
1685,18,"Carry_g3star_Kayle, Carry_g3star_Zac, Carry_Lee_Sin, Carry_Varus, Aatrox, Udyr, Sett, Naafiri",2.44,33.3%,94.4%
817,16,"Carry_Kayle, Carry_K'Sante, Carry_Lee_Sin, Carry_Varus, Zac, Udyr, Jhin, Malzahar",2.62,31.2%,87.5%
606,75,"Carry_g3star_Kayle, Carry_s3star_Zac, Carry_K'Sante, Carry_Varus, Jhin, Malzahar, Aatrox, Udyr",2.71,38.7%,77.3%
1833,9,"Carry_s3star_Kayle, Carry_s3star_Zac, Carry_g3star_Aatrox, Carry_K'Sante, Carry_Varus, Jhin, Udyr, Malzahar",3.11,22.2%,77.8%
529,32,"Carry_s3star_Kayle, Carry_K'Sante, Carry_Varus, Jhin, Zac, Udyr, Malzahar, Aatrox",3.78,21.9%,62.5%
1324,21,"Carry_s3star_Zac, Carry_Malzahar, Carry_K'Sante, Carry_Varus, Jhin, Kayle, Poppy, Neeko",3.95,23.8%,57.1%
135,18,"Carry_s3star_Zac, Carry_K'Sante, Carry_Varus, Jhin, Kayle, Malzahar, Poppy, Neeko",4.33,11.1%,50.0%
210,72,"Carry_s3star_Kayle, Carry_g3star_Zac, Carry_Varus, Aatrox, Udyr, Jhin, K'Sante, Malzahar",4.74,8.3%,40.3%
1346,17,"Carry_g3star_Kayle, Carry_s3star_Zac, Carry_g3star_Aatrox, Carry_Varus, Udyr, Jhin, K'Sante, Malzahar",4.94,0.0%,41.2%
2166,5,"Carry_g3star_Zac, Carry_Jinx, Carry_Varus, s3star_Jhin, Malzahar, K'Sante, Poppy, s3star_Aatrox",5.40,0.0%,20.0%
1479,11,"Carry_g3star_Zac, Carry_Varus, Jhin, K'Sante, Kayle, Malzahar, Aatrox, Kobuko",6.09,0.0%,9.1%
