sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
494,6,"Aatrox, Carry_Kobuko, Udyr, Carry_Yasuo, Senna, Carry_Ryze, Carry_JarvanIV, Carry_Yone",2.67,16.7%,100.0%
325,6,"Aatrox, Carry_Kobuko, Gangplank, Udyr, Carry_Yasuo, Carry_Senna, Carry_Ryze, Carry_JarvanIV",3.50,16.7%,66.7%
1545,9,"Carry_Kobuko, Carry_s3star_Udyr, Carry_Yasuo, Carry_Ryze, Aatrox, JarvanIV, Galio, Volibear",4.44,0.0%,44.4%
1480,11,"Carry_Kobuko, Udyr, Carry_Yasuo, Carry_Ryze, Aatrox, Senna, Galio, JarvanIV",5.91,0.0%,18.2%
1761,6,"Carry_Kobuko, Udyr, Carry_Ryze, Yasuo, Aatrox, Galio, Lee_Sin, Senna",7.33,0.0%,0.0%
