sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1765,7,"Ezreal, Rakan, Carry_K'Sante, Carry_Leona, Carry_Yuumi, Carry_Poppy, Carry_Seraphine, Garen",2.43,14.3%,85.7%
1489,9,"Ezreal, Carry_Malzahar, Carry_Leona, Carry_Yuumi, Carry_Poppy, Carry_Seraphine, Garen, K'Sante",2.89,33.3%,88.9%
984,20,"Carry_Leona, Carry_Yuumi, Carry_Poppy, Carry_Seraphine, Ezreal, Jayce, Garen, Rakan",3.55,10.0%,75.0%
990,9,"Ezreal, Garen, Carry_Jayce, Carry_Leona, Carry_Yuumi, Carry_Poppy, Carry_Seraphine, Rakan",3.67,0.0%,77.8%
2245,6,"Ezreal, Carry_Jayce, Carry_Leona, Carry_Yuumi, Carry_Poppy, Garen, Syndra, Rakan",3.83,33.3%,66.7%
1414,10,"Ezreal, Garen, Carry_Malzahar, Carry_Leona, Carry_Yuumi, Carry_Poppy, Syndra, Seraphine",4.10,0.0%,50.0%
969,11,"Carry_Yuumi, Carry_Poppy, Carry_Seraphine, Ezreal, Syndra, Rell, Leona, Garen",4.36,9.1%,63.6%
1360,7,"Ezreal, Garen, Carry_Caitlyn, Carry_Leona, Carry_Yuumi, Carry_Poppy, Jayce, Rakan",4.43,0.0%,57.1%
382,5,"Carry_Ezreal, Garen, Jayce, Carry_Leona, Carry_Yuumi, Carry_Poppy, Rakan, Neeko",4.60,0.0%,60.0%
1297,9,"Ezreal, Carry_Leona, Carry_Yuumi, Carry_Poppy, Jayce, Syndra, Malzahar, Garen",5.56,0.0%,33.3%
1232,8,"Carry_Malzahar, Carry_Yuumi, Carry_Poppy, Ezreal, Syndra, Leona, Seraphine, Rakan",5.75,0.0%,25.0%
1646,13,"Carry_Poppy, Carry_Seraphine, Rell, Ahri, Xayah, Neeko, Syndra, Jinx",6.15,0.0%,15.4%
1917,5,"Carry_s3star_Jayce, Carry_Yuumi, Carry_Poppy, Ezreal, Zac, Aatrox, Kobuko, Darius",6.20,0.0%,20.0%
