sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
412,73,"Rell, Carry_Ahri, Neeko, Carry_Jinx, Carry_Poppy, Carry_Braum, Carry_Seraphine, Syndra",2.27,37.0%,91.8%
1963,5,"Rell, Carry_Syndra, Carry_Ahri, Neeko, Carry_Jinx, Carry_Poppy, Carry_Braum, Carry_Seraphine",2.40,40.0%,80.0%
221,119,"Carry_Jinx, Carry_Poppy, Carry_Braum, Carry_Seraphine, Neeko, Rell, Ahri, Syndra",2.89,21.9%,84.9%
394,17,"Rell, Carry_Ahri, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Braum, Syndra, Xayah",3.29,23.5%,76.5%
391,85,"Carry_Ahri, Carry_Jinx, Carry_Poppy, Carry_Braum, Rell, Neeko, Syndra, Xayah",3.60,20.0%,69.4%
2103,7,"Rell, Syndra, Carry_Ahri, Carry_Neeko, Carry_Jinx, Poppy, Carry_Braum, Xayah",3.71,0.0%,100.0%
611,7,"Rell, Syndra, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Braum, Seraphine, Ahri",4.71,0.0%,42.9%
277,10,"Garen, Carry_Caitlyn, Carry_Jinx, Carry_Leona, Carry_Braum, Rell, Gnar, Jhin",5.00,0.0%,50.0%
1037,13,"Carry_Jinx, Carry_Poppy, Carry_Braum, Rell, Ahri, Neeko, Syndra, Xayah",5.31,7.7%,30.8%
2174,7,"Rell, Carry_Ahri, Neeko, Carry_Jinx, Carry_Braum, Xayah, Poppy, Syndra",6.14,0.0%,14.3%
123,5,"Carry_Jinx, Carry_Braum, Rell, Kobuko, Gnar, Dr._Mundo, Shen, Leona",6.60,0.0%,20.0%
128,5,"Carry_Caitlyn, Carry_Jinx, Carry_Braum, Rell, Jhin, Garen, Gnar, Leona",7.40,0.0%,0.0%
