sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
460,5,"Kobuko, Carry_Udyr, Yasuo, Carry_Akali, Carry_K'Sante, Carry_Ryze, Carry_JarvanIV, Zac",1.60,60.0%,100.0%
2208,6,"Kennen, Carry_Akali, Carry_K'Sante, Ryze, Carry_JarvanIV, Carry_Lee_Sin, Carry_Zyra, Janna",2.50,16.7%,83.3%
1020,20,"Janna, Carry_Akali, Carry_K'Sante, Carry_Ryze, Carry_JarvanIV, Carry_Lee_Sin, Kennen, Neeko",2.80,25.0%,85.0%
1247,9,"Carry_s3star_Darius, Carry_Akali, Carry_Ryze, Carry_JarvanIV, Kai'Sa, Kennen, Kobuko, Udyr",3.11,11.1%,77.8%
953,5,"Neeko, Carry_Akali, Carry_Ryze, Carry_JarvanIV, Carry_Varus, Kennen, Janna, K'Sante",3.20,40.0%,60.0%
2235,5,"Kennen, Carry_Janna, Neeko, Carry_Akali, Carry_K'Sante, Carry_Ryze, Carry_JarvanIV, Zac",3.40,20.0%,60.0%
293,21,"Carry_Akali, Carry_K'Sante, Carry_JarvanIV, Carry_Lee_Sin, Janna, Ryze, Kennen, Neeko",3.52,23.8%,61.9%
1636,29,"Carry_Akali, Carry_K'Sante, Carry_Ryze, Carry_Varus, Kennen, JarvanIV, Neeko, Janna",3.55,6.9%,75.9%
750,13,"Neeko, Carry_Akali, Carry_K'Sante, Carry_Ryze, Carry_Lee_Sin, Janna, Kennen, JarvanIV",3.62,15.4%,61.5%
1690,14,"Carry_Akali, Carry_Ryze, Carry_JarvanIV, Carry_Lee_Sin, Senna, Galio, Kennen, Darius",3.79,21.4%,64.3%
2252,6,"Kennen, Janna, Carry_Akali, Carry_K'Sante, Carry_Ryze, JarvanIV, Carry_Zyra, Neeko",4.17,0.0%,66.7%
262,33,"Carry_Akali, Carry_Ryze, Carry_JarvanIV, Carry_Yone, Galio, Kobuko, Udyr, Yasuo",4.21,12.1%,60.6%
965,11,"Carry_Akali, Carry_K'Sante, Carry_Lee_Sin, Ryze, Janna, JarvanIV, Kennen, Neeko",4.27,9.1%,54.5%
159,385,"Carry_Akali, Carry_K'Sante, Carry_Ryze, Carry_JarvanIV, Janna, Kennen, Neeko, Varus",4.30,8.1%,55.3%
2058,9,"Carry_Akali, Carry_K'Sante, Carry_Lee_Sin, Carry_Varus, Kennen, Ryze, JarvanIV, Janna",4.44,22.2%,55.6%
558,19,"Carry_Akali, Carry_Ryze, Carry_Lee_Sin, JarvanIV, Darius, Kennen, Senna, K'Sante",4.84,0.0%,52.6%
337,8,"Carry_Akali, Carry_Ryze, Carry_Yone, Galio, Kobuko, Udyr, Yasuo, JarvanIV",5.75,0.0%,37.5%
111,125,"Carry_Akali, Carry_K'Sante, Carry_Ryze, Kennen, Janna, JarvanIV, Neeko, Varus",5.86,1.6%,17.6%
368,69,"Carry_Akali, Carry_Ryze, Carry_JarvanIV, Senna, Galio, Janna, Kennen, Darius",5.87,0.0%,18.8%
991,13,"Carry_Akali, Carry_Ryze, JarvanIV, Kennen, Senna, Kobuko, Udyr, Yasuo",6.54,0.0%,15.4%
