sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
585,43,"Ezreal, Carry_Garen, Carry_Malzahar, Carry_K'Sante, Carry_Leona, Carry_Yuumi, Carry_Seraphine, Rakan",2.37,25.6%,90.7%
1151,23,"Ezreal, Carry_Garen, Rakan, Carry_K'Sante, Carry_Leona, Carry_Yuumi, Carry_Seraphine, Malzahar",2.48,21.7%,87.0%
1043,7,"Carry_Garen, Carry_Leona, Carry_Yuumi, Carry_Zyra, Ezreal, Rakan, Jayce, Seraphine",3.14,42.9%,57.1%
1813,5,"Ezreal, Carry_Garen, Carry_Rakan, Carry_Jayce, Carry_Leona, Carry_Yuumi, Katarina, Seraphine",3.20,0.0%,100.0%
249,59,"Carry_Garen, Carry_Malzahar, Carry_K'Sante, Carry_Leona, Carry_Yuumi, Ezreal, Rakan, Syndra",3.47,13.6%,72.9%
1216,16,"Ezreal, Carry_Garen, Carry_Rakan, Carry_Malzahar, Carry_Leona, Carry_Yuumi, Seraphine, Syndra",3.50,12.5%,75.0%
1624,5,"Carry_g3star_Garen, Carry_g3star_Rell, Carry_g3star_Syndra, Carry_Yuumi, Seraphine, s3star_Ezreal, Leona, Braum",3.60,20.0%,60.0%
840,57,"Carry_Garen, Carry_Leona, Carry_Yuumi, Carry_Seraphine, Ezreal, Rakan, Syndra, Malzahar",3.63,12.3%,71.9%
986,15,"Ezreal, Carry_Garen, Carry_K'Sante, Carry_Leona, Carry_Yuumi, Rakan, Malzahar, Syndra",4.13,26.7%,53.3%
357,52,"Ezreal, Carry_Garen, Carry_s3star_Katarina, Carry_Leona, Carry_Yuumi, Jayce, Rakan, Ryze",4.21,15.4%,53.9%
2105,7,"Ezreal, Carry_Garen, Syndra, Rakan, Carry_Malzahar, Carry_K'Sante, Leona, Carry_Yuumi",4.29,14.3%,57.1%
318,48,"Carry_s3star_Garen, Carry_Leona, Carry_Yuumi, Ezreal, Rakan, Jayce, Seraphine, Katarina",4.85,2.1%,41.7%
589,71,"Ezreal, Carry_Garen, Carry_Malzahar, Carry_Leona, Carry_Yuumi, Rakan, Syndra, Seraphine",4.87,7.0%,40.9%
1230,5,"Ezreal, Carry_s3star_Garen, Carry_K'Sante, Carry_Yuumi, Rakan, Leona, Syndra, Malzahar",5.40,0.0%,20.0%
1832,9,"Carry_Garen, Rakan, Carry_Yuumi, Carry_Seraphine, Ezreal, Leona, Syndra, Jayce",5.78,0.0%,11.1%
1475,5,"Ezreal, Carry_s3star_Garen, Carry_g3star_Syndra, Leona, Carry_Yuumi, Rakan, g3star_Rell, Jayce",5.80,0.0%,20.0%
927,18,"Ezreal, Carry_Garen, Carry_Malzahar, Carry_Yuumi, Leona, Rakan, Syndra, K'Sante",6.00,0.0%,27.8%
130,26,"Ezreal, Carry_s3star_Garen, Carry_Yuumi, Rakan, Leona, Jayce, Katarina, Malzahar",7.12,0.0%,0.0%
1911,8,"Ezreal, Carry_Garen, Carry_Malzahar, Rakan, Syndra, Yuumi, Jayce, Seraphine",7.75,0.0%,0.0%
