sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
2198,5,"Carry_g3star_Rakan, Carry_g3star_Xayah, Carry_Janna, Carry_Neeko, Carry_K'Sante, Kennen, Malphite, Yasuo",4.40,0.0%,80.0%
778,6,"Carry_s3star_Rakan, Carry_s3star_Xayah, Neeko, Carry_K'Sante, Janna, Yasuo, Malphite, Samira",4.83,0.0%,50.0%
943,6,"Carry_s3star_Rakan, Carry_s3star_Xayah, Carry_s3star_Janna, s3star_Neeko, K'Sante, Kennen, Malphite, s3star_Shen",5.00,0.0%,50.0%
414,6,"Kennen, Malphite, Carry_s3star_Rakan, Carry_g3star_Xayah, Carry_s3star_Janna, Neeko, Carry_K'Sante, Yasuo",5.17,0.0%,16.7%
1115,8,"Carry_s3star_Rakan, Carry_g3star_Xayah, Carry_Neeko, Kennen, Janna, K'Sante, Malphite, Yasuo",5.38,0.0%,25.0%
1308,8,"Carry_s3star_Rakan, Carry_s3star_Xayah, Neeko, Shen, Janna, Malphite, K'Sante, Rell",7.50,0.0%,0.0%
