sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1356,6,"Lucian, Aatrox, Carry_Gangplank, Senna, Carry_Karma, Carry_JarvanIV, Carry_Lee_Sin, Carry_Yone",2.67,50.0%,66.7%
608,15,"Aatrox, Carry_Gangplank, Carry_Karma, Carry_JarvanIV, Carry_Yone, Carry_g3star_Galio, Lucian, Senna",3.87,20.0%,53.3%
2010,21,"Lucian, Carry_Gangplank, Carry_Karma, Carry_JarvanIV, Carry_Galio, Aatrox, Senna, Ryze",5.90,0.0%,19.1%
1317,5,"Carry_Gangplank, Senna, Carry_Karma, Galio, Ryze, JarvanIV, Lucian, Aatrox",7.20,0.0%,0.0%
1615,5,"Lucian, Aatrox, Carry_Gangplank, Carry_Udyr, Carry_Karma, Carry_Galio, JarvanIV, Senna",7.20,0.0%,0.0%
1934,5,"Aatrox, Carry_Gangplank, Senna, Carry_Karma, JarvanIV, Carry_Galio, Lucian, Ryze",8.00,0.0%,0.0%
