sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
530,11,"Carry_Ryze, Carry_JarvanIV, Carry_Volibear, Carry_Braum, Aatrox, Galio, Senna, Kobuko",4.55,0.0%,45.5%
350,18,"Kobuko, Udyr, Carry_Yasuo, Carry_Ryze, Carry_JarvanIV, Carry_Volibear, Galio, Aatrox",4.61,5.6%,44.4%
1735,6,"Carry_Ryze, Carry_Volibear, Carry_Braum, Yone, Xin_Zhao, Karma, JarvanIV, Gwen",5.17,0.0%,33.3%
707,7,"Kobuko, Udyr, Yasuo, Carry_Senna, Carry_Ryze, Carry_JarvanIV, Carry_Volibear, Galio",5.71,0.0%,0.0%
1576,16,"Kobuko, Udyr, Carry_Yasuo, Carry_Ryze, Carry_Volibear, Shen, Galio, Senna",5.75,0.0%,25.0%
622,35,"Carry_Ryze, Carry_JarvanIV, Carry_Volibear, Galio, Kobuko, Udyr, Yasuo, Senna",5.83,0.0%,20.0%
1128,20,"Carry_Ryze, Carry_Volibear, JarvanIV, Galio, Kobuko, Udyr, Yasuo, Senna",7.15,0.0%,10.0%
