sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
491,5,"Carry_Rell, Syndra, Xayah, Carry_Ahri, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Braum",1.60,60.0%,100.0%
1443,18,"Rell, Carry_Ahri, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Braum, Carry_Seraphine, Syndra",2.06,44.4%,88.9%
336,32,"Rell, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Braum, Carry_Seraphine, Syndra, Xayah",2.28,37.5%,93.8%
1846,10,"Rell, Carry_Syndra, Carry_Ahri, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Xayah",2.30,30.0%,100.0%
24,29,"Rell, Carry_Ahri, Carry_Swain, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Syndra",2.38,27.6%,96.5%
1016,7,"Carry_Rell, Syndra, Carry_Ahri, Carry_Swain, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Seraphine",2.57,28.6%,85.7%
754,38,"Carry_Rell, Syndra, Carry_Ahri, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Xayah",2.68,34.2%,84.2%
1388,18,"Rell, Carry_Xayah, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Syndra, Ahri",2.78,16.7%,88.9%
102,318,"Rell, Carry_Ahri, Carry_Neeko, Carry_Jinx, Carry_Poppy, Carry_Seraphine, Syndra, Xayah",2.86,23.3%,84.9%
1449,6,"Rell, Syndra, Carry_Xayah, Carry_Ahri, Carry_Neeko, Carry_Poppy, Carry_Seraphine, Jinx",3.17,16.7%,83.3%
1229,21,"Rell, Syndra, Carry_Ahri, Carry_Neeko, Carry_Jinx, Carry_K'Sante, Carry_Poppy, Xayah",3.43,19.1%,76.2%
1103,45,"Rell, Carry_Ahri, Carry_Swain, Carry_Neeko, Carry_Jinx, Carry_Poppy, Syndra, Xayah",3.73,11.1%,57.8%
1204,32,"Carry_Rell, Carry_Ahri, Carry_Neeko, Carry_Jinx, Carry_Poppy, Syndra, Xayah, Seraphine",3.75,12.5%,68.8%
1932,8,"Carry_Neeko, Carry_Jinx, Carry_K'Sante, Carry_Poppy, Carry_Varus, Jhin, Zac, Malzahar",3.75,0.0%,75.0%
313,26,"Rell, Carry_Kobuko, Carry_Ahri, Carry_Neeko, Carry_Jinx, Carry_Poppy, Xayah, Syndra",3.77,23.1%,61.5%
92,8,"Rell, Carry_Syndra, Carry_s3star_Ahri, Carry_s3star_Neeko, Carry_Jinx, Poppy, Xayah, Swain",4.00,12.5%,62.5%
2176,6,"Carry_Rell, Carry_Ahri, Carry_Neeko, Carry_Poppy, Carry_Seraphine, Syndra, Jinx, Xayah",4.00,16.7%,50.0%
906,27,"Carry_s3star_Ahri, Carry_Swain, Carry_Neeko, Carry_Jinx, Rell, Poppy, Syndra, Xayah",4.37,3.7%,59.3%
383,5,"Rell, Carry_s3star_Ahri, Carry_Neeko, Carry_K'Sante, Carry_Seraphine, Syndra, Jinx, Poppy",4.40,20.0%,60.0%
182,483,"Carry_Ahri, Carry_Neeko, Carry_Jinx, Carry_Poppy, Rell, Syndra, Xayah, Seraphine",4.43,8.9%,49.3%
503,13,"Rell, Carry_s3star_Ahri, Carry_Swain, Carry_s3star_Neeko, Carry_Seraphine, Syndra, Poppy, Jinx",4.46,7.7%,46.1%
2001,12,"Carry_Ahri, Carry_s3star_Neeko, Carry_K'Sante, Carry_Poppy, Syndra, Rell, Jinx, Seraphine",4.58,0.0%,50.0%
1369,5,"Rell, Carry_Kobuko, Carry_Ahri, Carry_Neeko, Carry_Jinx, Poppy, Syndra, Xayah",4.60,0.0%,60.0%
2243,5,"Rell, Carry_Kobuko, Ahri, Carry_Neeko, Carry_Jinx, Carry_Poppy, Syndra, Xayah",4.60,0.0%,60.0%
1486,6,"Rell, Carry_Xayah, Carry_Ahri, Carry_s3star_Neeko, Carry_Jinx, Poppy, Syndra, K'Sante",4.67,0.0%,50.0%
720,11,"Carry_Rell, Syndra, Carry_Kobuko, Carry_Ahri, Carry_Neeko, Carry_Jinx, Carry_Poppy, Xayah",4.73,18.2%,45.5%
788,11,"Rell, Syndra, Ahri, Carry_Neeko, Jinx, Carry_Poppy, Carry_Seraphine, Xayah",4.91,9.1%,45.5%
