sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
948,7,"Lucian, Swain, Carry_Leona, Carry_Ryze, Carry_Karma, Carry_JarvanIV, Carry_Gwen, Galio",2.29,42.9%,85.7%
1039,10,"Lucian, Carry_Ryze, Carry_Karma, Carry_JarvanIV, Carry_Gwen, Carry_Yone, Carry_Galio, Senna",2.90,0.0%,100.0%
409,8,"Carry_Ryze, Carry_JarvanIV, Carry_Braum, Carry_Gwen, Carry_Yone, Galio, Volibear, Xin_Zhao",3.00,25.0%,75.0%
2259,9,"Lucian, Carry_Ryze, Carry_Karma, Carry_JarvanIV, Carry_Gwen, Carry_Galio, Swain, Senna",3.00,0.0%,77.8%
459,292,"Carry_Ryze, Carry_Karma, Carry_JarvanIV, Carry_Gwen, Galio, Lucian, Swain, Lux",3.30,20.9%,73.6%
2172,5,"Lucian, Carry_Ryze, Carry_Karma, JarvanIV, Carry_Braum, Carry_Gwen, Galio, Lux",3.80,0.0%,60.0%
1110,6,"Carry_Ryze, Carry_JarvanIV, Carry_Gwen, Carry_Lee_Sin, Karma, Yone, Galio, Braum",3.83,0.0%,66.7%
1689,30,"Carry_Swain, Carry_Ryze, Carry_Karma, Carry_Gwen, Lucian, Lux, JarvanIV, Galio",4.13,16.7%,50.0%
978,29,"Carry_Ryze, Carry_JarvanIV, Carry_Gwen, Galio, Karma, Senna, Yone, Swain",6.14,3.5%,10.3%
2196,13,"Swain, Carry_Ryze, Carry_Karma, JarvanIV, Carry_Gwen, Galio, Lucian, Lux",6.15,7.7%,23.1%
2223,6,"Lucian, Carry_Swain, Carry_Ryze, Carry_Gwen, Lux, JarvanIV, Galio, Karma",7.33,0.0%,0.0%
1340,6,"Carry_Ryze, Carry_Gwen, Galio, Karma, JarvanIV, Volibear, Braum, Yone",7.50,0.0%,0.0%
