rank,cluster_id,size,top_8_units,avg_place,winrate,top4_rate,frequency
39,198,33,"Carry_s3star_Kennen, Carry_s3star_Malphite, Janna, Darius, Akali, Neeko, K'Sante, Rakan",4.27,12.1%,57.6%,0.0%
40,4,842,"Carry_K'Sante, Carry_Yuumi, Ezreal, Malzahar, Rakan, Leona, Garen, Seraphine",4.29,8.8%,55.1%,1.0%
41,23,850,"Carry_Galio, Carry_JarvanIV, Carry_Yone, Senna, Aatrox, Carry_Ryze, Gangplank, Udyr",4.33,8.5%,53.8%,1.0%
42,11,646,"Carry_Ashe, Carry_Lee_Sin, Udyr, Vi, Zyra, Sett, Dr._Mundo, Braum",4.34,16.6%,52.6%,0.8%
43,81,59,"Carry_Braum, Carry_Lee_Sin, Zyra, Ashe, Udyr, Sett, Vi, Dr._Mundo",4.34,16.9%,52.5%,0.1%
44,92,713,"Carry_g3star_Malphite, Carry_s3star_Shen, Carry_s3star_Ziggs, g3star_Sivir, Janna, JarvanIV, Ryze, Twisted_Fate",4.36,19.4%,53.0%,0.8%
45,70,119,"Carry_Poppy, Carry_Yuumi, Ezreal, Leona, Seraphine, Garen, Jayce, Syndra",4.37,7.6%,56.3%,0.1%
46,40,238,"Carry_Senna, Carry_Ryze, Galio, Carry_JarvanIV, Yasuo, Udyr, Kobuko, Aatrox",4.39,8.8%,53.4%,0.3%
47,12,2272,"Carry_s3star_Katarina, Garen, Carry_Yuumi, Rakan, Ezreal, Leona, Jayce, Ryze",4.40,13.5%,52.2%,2.7%
48,37,171,"Carry_s3star_Gangplank, Carry_Udyr, Viego, Ashe, Kai'Sa, Sett, Kayle, Lee_Sin",4.40,12.3%,52.0%,0.2%
49,10,1753,"Carry_Neeko, Carry_Ahri, Rell, Poppy, Carry_Jinx, Syndra, Xayah, Seraphine",4.43,11.6%,50.6%,2.1%
50,56,99,"Carry_Volibear, Dr._Mundo, Carry_Sett, Braum, Samira, Shen, Yasuo, Yone",4.43,10.1%,56.6%,0.1%
