match_id,puuid,riot_id,sub_cluster_id,main_cluster_id,carries,last_round
SG2_87076331,nc4AzOIlYh5earBcdnIPIke4rQNMMIaUNT68zIwL4EwnVZuM1pmkb43pPmyTJf1o3oN_qr0l1hT7rw,Chronoblade#7590,43,1,"Kalista,Samira,Sett,Xin_Zhao",30
SG2_87076331,R3x_0doQLz--gDXJYpAo8bBULy8BRdQAmdxckmt37G4TTSWppwI2Hcj1O5sVG2gRJXlzcXZXWwtU3g,SANFET#2039,44,5,"Malphite,Shen,Sivir",38
SG2_87076331,kQ3cRbkP_5ckSeNoN_sMUklZWhwJyWq469Y2c4jjtZSZ3BC7Cp6b4QT6hv9KeRXMp9qkyOKkVKGBiQ,Arigus373#0870,3,24,"Akali,JarvanIV,K'Sante",30
SG2_87076331,vDLs4PVZ3YDjL3y93aOwcuTqiDG6ZnB14DuVW7zwgNq0TY1n12SwDcs1owLoiGGbLncAbqy1sm5aiQ,haewon#amon,16,38,"Ahri,Karma,Swain",28
SG2_87076331,9zN0IYZOBZWwplFOJWmaoztn1ys87Vn1u41V1H1HiP1dozc6BC9w_czKoqxFcAMuIpvCsxtCUZgtFA,สะพานพระรามสอง#301,-1,-1,"Braum,Kai'Sa,Kayle,Lee_Sin,Sett,Viego",38
SG2_87001560,e54MElt9RYdAjF1NzT95c3kHXg-R5AAKmhJxuxP2VaBmT7IIjSpdMClrPTIucLwDm9SkNtzQ8dHz1A,HardSupport#Pos5,30,-1,NO_CARRIES,25
SG2_87001560,8EMEWj2-GqroN8masCq0foqhOV7KBYice8bAwO3jATa5vzbTumXoCqZpRhOWwMxjxdhIehCn6n_vEA,Imanmp#Seo,30,-1,NO_CARRIES,28
SG2_87001560,kQ3cRbkP_5ckSeNoN_sMUklZWhwJyWq469Y2c4jjtZSZ3BC7Cp6b4QT6hv9KeRXMp9qkyOKkVKGBiQ,Arigus373#0870,30,-1,NO_CARRIES,28
SG2_87001560,o9L53bJe-8NZEtS-l78XXzwZDRxSx5JJW0HWGOafwdIJEGaH7wYBPnwMwWeU4u5m83eUQnNW8Av-7Q,WeirdNature#12345,30,-1,NO_CARRIES,26
SG2_87001560,C2m5FCpSNb3B7MyxHH9XALQESGbcHfrwN3OtIx05e0ZtwuHXRAiLZ7lhp1zucE5yPif8iHA3yTY1rg,beepbeep#T rak,30,-1,NO_CARRIES,27
SG2_87001560,MaqWnoYvVkK4z69BHORDNIU_AEoi1xjefLf_mYZqEGjjUos0ES7HeHqR1fXabDMOPwmcq7gvO4kYGg,main4ctor#boyA,30,-1,NO_CARRIES,23
SG2_87001560,4VVWH_OmItkYdO0PzFNKwJXoswpKCo7vs7JPgwnfKP-BWoAypDT9cumbxXOqzn4ztQLoiwKcS8eMtw,lterl#4052,30,-1,NO_CARRIES,28
SG2_87001560,43Gk_Z4JGDkUZ5LZ8G0tFhoWjOEdOjE_LF09l2roZsEHalyCjQ3KMTxQj0AhFlhFsiWTpR6Lv_JHOA,AYAMI HlME#7456,30,-1,NO_CARRIES,28
SG2_86990267,moIEWpajsxIjDN8G1DghoKhMyjaqX8TQQxjJQq8DA4mGFDBIz2bwR35KeDuf6y4znmMAp0bUHJOqHw,Salem#6250,-1,-1,"JarvanIV,Ryze,Twisted_Fate,Yone,Zyra",37
SG2_86990267,kLOcCu2fii3pPwdr_BNB7Gtkmkh6Ge_BCu2Dwnls-6zUHnzN2k2Zh1mE09svOy4972SJAnX_3YKrMw,Mh33Sama#ONE,45,50,"Leona,Yuumi",28
SG2_86990267,NLCwxmKf6xCE7zssYjO7lFfoKWvkjH1SBq-12nX1IUhjoxNwZ8jkzmXpcLc5_EtAoKshuR0bdZW5zQ,ฆราวาสเคารพคนDUM#คนดำ,-1,-1,"Caitlyn,Gnar,Leona,Varus",33
SG2_86990267,8tWwSOb7pCizYeVquahT0eBXobhvmO8iyLoYCEEikJUYR-DLqUhwvzuHlLpOAleVZ4CDXu-L-F7ArQ,Kontagious#niki,46,155,"Ezreal,Garen",21
